city_code,city,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110000,Beijing,84,208,169,275,227,415,418,632,738,1208,1460,2005,2463,3030,3812,5080,6256,5892,7810,8730,10247
120000,Tianjin,18,16,9,26,7,13,12,38,41,69,62,84,128,166,270,191,223,253,313,357,338
130100,Shijiazhuang,3,3,0,3,1,7,4,3,10,13,5,5,19,24,29,56,48,47,81,73,75
130200,Tangshan,0,0,0,0,0,0,0,0,1,3,2,0,3,4,1,7,7,0,17,10,20
130300,Qinhuangdao,0,0,0,0,0,5,0,0,0,0,1,0,1,2,5,27,50,64,112,130,152
130400,Handan,2,1,2,6,5,0,3,1,1,1,1,1,4,2,3,2,6,1,4,3,1
130500,Xingtai,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,9,11,8
130600,Baoding,0,0,0,1,1,1,0,4,2,21,9,15,20,42,23,71,27,70,59,77,102
130700,Zhangjiakou,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,7,13,20,12,16
130800,Chengde,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
130900,Cangzhou,1,0,2,1,3,0,0,0,0,0,4,0,1,4,3,4,5,1,5,3,8
131000,Langfang,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,26,12,21,12,21,75
131100,Hengshui,0,0,0,0,1,0,0,0,1,1,4,12,5,2,2,7,2,5,4,9,1
140100,Taiyuan,6,1,8,0,2,3,5,6,7,11,1,4,23,16,31,20,38,45,88,77,99
140200,Datong,0,2,3,2,1,3,9,4,3,5,11,8,7,7,6,10,4,11,4,6,3
140300,Yangquan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140400,Changzhi,2,4,4,2,6,25,20,3,9,9,6,14,12,13,11,7,9,16,26,38,24
140500,Jincheng,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,4
140600,Shuozhou,2,0,0,0,1,2,2,1,2,1,2,0,0,0,2,1,1,2,3,6,5
140700,Jinzhong,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1
140800,Yuncheng,0,0,1,0,1,0,0,0,0,2,1,3,12,0,0,0,2,21,18,11,4
140900,Xinzhou,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
