point,city,市,city_code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"(75.7958, 38.2029)",Kezilesukeerkezi,克孜勒苏柯尔克孜自治州,653000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(75.99, 39.4666)",Kashi,喀什地区,653100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"(79.9123, 31.3061)",Ali,阿里地区,542500,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"(80.9354, 42.8309)",Yili,伊犁哈萨克自治州,654000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"(81.2748, 43.9052)",Yili,伊犁哈萨克自治州,654000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"(83.5425, 30.4808)",Rikaze,日喀则市,540200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"(84.8661, 45.6004)",Kelamayi,克拉玛依市,650200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3
"(84.8669, 44.4293)",Yili,伊犁哈萨克自治州,654000,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,5,13,5,27,1
"(86.2225, 41.7544)",Bayinguoleng,巴音郭楞蒙古自治州,652800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"(87.0781, 31.8943)",Naqu,那曲市,540600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"(87.1674, 41.7575)",Bayinguoleng,巴音郭楞蒙古自治州,652800,0,1,0,0,8,0,0,7,0,0,0,8,0,1,0,0,1,11,21,17,9
"(87.3271, 28.0822)",Rikaze,日喀则市,540200,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
