city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,186.8656535,265.1617952,298.6685864,380.0860053,417.5296309,467.8786014,491.3142243,505.9294005,552.0361531,619.7764933,647.5864165,678.0298485,966.1277134,955.8752751,1790.286976,1258.058866,1017.393701
Tianjin,176.3768898,265.1257305,354.3931184,435.3265394,550.2825566,765.8179116,920.5431499,1101.560644,1310.319149,1511.914015,1676.192231,1855.686043,2058.081605,2952.646552,1010.270476,448.3401109,427.0406137
Shijiazhuang,27.91182963,38.36194213,47.37517524,52.55880788,34.25579813,45.55500372,55.60614277,24.68255894,36.82542866,84.36387148,97.73724083,99.70631281,110.8170367,117.6319846,143.327852,152.7423625,155.276616
Tangshan,28.59772328,58.21961215,70.55324628,70.46111915,88.63467005,114.639229,108.0188037,118.9238095,146.6870167,165.8452413,182.9944497,186.7857143,164.7451521,195.1328947,212.8066225,224.3641161,238.6058201
Qinhuangdao,56.50773903,73.10564861,84.98062016,94.93833321,120.0487099,140.3883156,159.1456622,172.4106833,207.7122153,215.6421703,252.2207038,275.1982379,291.306995,303.4832215,342.942953,369.55,398.7906977
Handan,9.949946913,15.58000811,17.49308608,19.62855721,18.5383105,27.33277304,35.25356131,51.05448884,66.88367347,80.57597422,88.91046278,89.88829529,78.14327903,96.83033175,103.9372027,105.3497164,112.3261074
Xingtai,8.665947501,15.9664866,21.00195532,23.94409483,21.68480451,27.6346339,28.42074503,34.81414696,2.184828335,13.34091213,60.26477913,62.8800621,28.15002755,69.06345178,76.39113924,80.00501882,85.55555556
Baoding,24.70148006,20.44970044,11.82874461,16.0512802,15.51231496,46.7886453,36.76857558,40.86958769,38.40182648,46.96783551,53.26144858,50.63095437,34.59686073,58.28169014,61.07256047,81.25331126,94.52098765
Zhangjiakou,4.846695233,8.234404873,9.951364676,7.746742797,10.36353296,13.84253921,17.41904783,21.55718179,39.96790757,53.28778822,59.29535232,69.39393939,70.9195966,97.8787234,88.09677419,94.52688172,100.1247312
Chengde,20.91293934,27.93913863,30.5773915,3.145363064,3.025429965,15.09015106,18.00704472,18.75268125,15.21506813,34.60599629,10.94154985,39.24349882,41.73924415,52.23498695,9.921052632,52.97905759,14.24543081
Cangzhou,12.3557346,12.26595619,21.06170135,19.70905406,22.31648101,22.62639065,22.97421603,31.82010973,39.84621666,47.83852767,54.385523,44.56272775,61.077535,72.44358974,80.19794344,85.88761175,91.10038119
Langfang,48.25431257,57.23923862,67.45154123,79.60828911,86.45299358,103.4486137,111.8452568,117.106582,135.3753824,143.1625115,162.2443182,159.2340142,163.9299113,170.6531915,208.5189873,219.0083507,228.8902692
Hengshui,16.54530059,23.53778936,27.75662668,20.1400885,12.50058523,12.81820074,15.78151145,22.83507497,33.34012681,41.46473779,45.22011173,47.78612461,36.99199575,52.2021978,57.55726872,64.5372807,59.28820961
Taiyuan,36.3072694,42.97463397,48.44443139,207.8120521,67.07945175,86.61133165,71.65589395,77.54582763,186.0657534,213.8655003,256.9414966,291.2442521,231.4951414,124.9027027,29.03252033,0,25.3046875
Datong,0.324412003,8.105312333,3.552706267,10.16838319,20.75172904,29.49038462,29.05576679,49.4472615,33.34901223,65.79524108,48.75555556,53.53478774,60.40098665,63.23899371,53.5,57.21383648,22.02201258
Yangquan,6.389242521,4.734008866,0.174769622,19.55821083,27.67467249,37.73774548,33.23865817,28.86526992,138.0060883,178.4708554,199.6985682,207.2072072,230.7808717,234.1804511,87.12878788,0,14.66666667
Changzhi,3.668160869,1.184826676,2.894886543,9.378319275,48.44348363,119.7831399,33.27063677,41.90142969,61.96829195,83.09729247,92.32722977,101.4209906,133.9409233,140.1238938,113.816568,116.8141593,119.9705882
