city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,114012,114012,105473,93755,82909,    57783,    59922,56844,61299,59330,52041,40347,22070,10257,3799,1554,1132
Tianjin,230171,201410,241174,232282,224775,    209844,    172980,217620,221897,215481,207793,195395,154605,54539,42323,32937,0
Shijiazhuang,212073,186269,181472,209879,197227,    170950,    143523,137934,196763,179942,181532,156030,113652,85815,36633,28399,20326
Tangshan,250308,279134,296488,296038,287076,    272076,    243702,238061,331863,313051,282806,250761,214723,125432,119808,88388,76959
Qinhuangdao,60030,52522,52658,52802,54993,    48373,    45161,44737,75555,71727,72501,65512,46689,24127,18923,18961,14269
Handan,179104,186667,192296,198324,191039,    168816,    160121,161805,220318,202792,184980,145946,110193,71485,58914,45278,44142
Xingtai,109452,120638,129379,130508,121929,    108325,    100454,96139,106528,99770,91811,90924,76035,60997,23663,13624,10902
Baoding,57075,53752,68067,70186,67089,    60278,    58420,53984,76427,75312,79253,64676,49850,27999,8413,5281,4668
Zhangjiakou,160627,163065,152486,156231,159865,    132931,    114677,92997,95524,82994,77689,75894,61858,20171,14634,12994,12227
Chengde,56376,56120,69172,66727,86825,    83896,    76352,71294,87360,83407,72424,71938,55393,47879,35048,28649,25812
Cangzhou,26956,24471,33246,27748,26827,    25641,    23905,25832,43616,44476,40689,39803,32712,21832,12562,11504,9248
Langfang,34840,44058,43313,48255,43125,    34218,    32417,32302,48812,51098,48607,46320,38390,23654,11311,8524,4621
Hengshui,41725,41541,62862,68982,58421,    53208,    44159,39053,34333,34169,32996,34636,29919,9563,2040,4238,1320
Taiyuan,181690,183656,150460,128692,106650,    100089,    90487,94233,108234,101780,88900,83648,64656,15707,9759,0,0
Datong,123676,129854,130396,112414,102202,    101229,    98816,97416,143447,135097,128026,115853,95973,21044,18789,0,0
Yangquan,112353,118803,121580,116871,100949,    100401,    100147,109377,101156,98713,93767,88855,78128,58396,0,0,4721
Changzhi,92833,94825,107637,116083,110658,    106547,    104331,121102,146678,136945,131999,120102,86495,41161,26548,13639,0
Jincheng,67020,93033,96056,88763,95410,    94314,    86904,98125,94469,82579,82246,77983,74377,66422,18179,12208,8850
Shuozhou,88488,117284,137691,140523,135000,    115446,    142240,137040,138938,114780,108902,99458,64376,20501,19379,0,0
Jinzhong,70927,72111,77627,111382,103584,    101200,    75387,96699,108235,111377,104113,99895,91219,30414,21642,8856,9182
Yuncheng,110007,94449,108679,106880,111979,    120129,    117397,121407,121687,121687,128741,134217,119527,61590,0,0,0
Xinzhou,40787,41435,87090,78057,69629,    86334,    76138,78831,76435,65524,63634,64074,78967,75836,17415,17821,15962
Linfen,81534,82909,84130,70510,76307,    71653,    67078,66627,100599,92469,91101,88229,68424,0,0,0,0
Lvliang,64003,64105,69109,63905,80188,    83411,    71646,74126,84674,14328,108468,105625,97861,72490,61875,0,0
Huhehaote,36506,74428,107676,121131,57615,    81597,    74041,74041,107187,99375,96190,91360,67279,52316,31024,23885,0
Baotou,120732,146771,169337,179469,163795,    158780,    158292,174718,210014,209781,197650,189430,176130,42093,42967,43473,0
Wuhai,73197,88216,108115,119200,110431,    98500,    98405,100000,116624,112397,112317,104786,80594,40393,39260,22029,0
Chifeng,115425,194603,201028,192117,200917,    198574,    185212,47524,128439,126137,123085,120094,105309,56906,27977,22175,0
Tongliao,2322,5222,71783,68828,78831,    85125,    77373,78030,84741,83055,117500,118600,91766,38849,44173,39320,0
Eerduosi,129121,260000,283687,302700,250540,    243870,    225500,225519,226268,225666,212067,195409,199358,57518,43368,42392,0
Hulunbeier,21592,42890,45000,85617,83466,    83530,    87398,99489,81106,85120,76915,79905,81404,27993,21731,17026,0
Bayannaoer,36916,47776,49535,79735,72884,    76910,    74664,72370,86000,71193,77493,76139,60576,27462,18735,12390,0
Wulanchabu,74312,76021,76500,76800,104840,    103255,    94814,62916,80500,60880,58803,57906,55558,27443,23563,21979,0
Shenyang,36908,33622,46179,68468,92684,    92665,  82362,77385,95199,96756,130672,131344,97839,37530,25904,0,17052
Dalian,62295,73885,83186,0,95172,    101242,  83765,78866,132003,114589,102938,94370,95796,51021,34282,14893,13428
Anshan,66219,66773,101256,103237,103932,    99706,  91613,77532,118539,122876,124889,116010,114229,58168,36176,0,30178
Fushun,58462,62455,78108,81467,90494,    74152,  73639,50553,59214,55891,51430,54283,46684,24680,22607,6874,6360
Benxi,46191,48396,121162,136900,12355,    103330,  95600,87528,74706,75796,70002,65470,52554,32824,17068,16525,14086
Dandong,29932,27300,35912,36800,39629,    43546,  32900,27955,35078,33594,34200,30544,32721,9772,7511,6649,7238
Jinzhou,54181,62497,70552,66064,65296,    70990,  76543,61739,50343,47340,36584,38535,42438,15442,12947,9834,7488
Yingkou,24831,25802,75597,73867,74330,    81705,  92007,77072,58024,50723,52069,56092,46052,35251,28452,32995,23988
Fuxin,26057,27933,57860,60654,74367,    50798,  61923,52912,102211,102154,102913,109144,93342,41513,37437,19740,7724
Liaoyang,27729,27859,36743,36293,42211,    34352,  31191,30513,42657,49893,44580,45633,43606,12664,13501,8655,0
Panjin,9984,11007,19802,12333,12469,    18036,  17443,17561,0,0,58565,55450,50123,29617,7106,5632,7663
Tieling,72210,72023,90619,95892,94785,    78304,  65750,52802,52062,36283,33061,25274,36739,15897,10323,7495,6642
Chaoyang,41412,41618,60981,63627,51977,    64878,  59982,41530,47013,59262,50542,45693,63451,21674,21265,10328,10327
Huludao,41106,40076,83510,79640,92443,    78484,  65252,63011,78125,78589,72920,58190,53752,0,14359,6979,6162
Changchun,35201,31194,50007,52727,58575,    56831,  54693,60528,68978,69046,57246,56210,52369,21893,14300,15234,15396
Jilin,23347,29339,49861,53102,52513,    52006,  51961,66448,83933,81809,69924,68005,63191,35468,29700,23212,19116
Siping,33355,33875,51234,59184,59669,    59093,  57325,56644,53146,45291,44618,42980,34056,16898,13653,10015,7021
Liaoyuan,14211,22431,23654,25352,26034,    24605,  16737,11048,13176,13501,19724,20458,19438,5689,5871,4542,4363
Tonghua,15526,23262,30772,39646,39951,    30471,  33779,38143,51258,45389,37207,38151,40201,15473,12749,9821,8339
Baishan,25268,30607,31007,36862,34018,    29289,  30543,24097,19900,22552,28003,19253,14123,5239,4947,2970,2741
Songyuan,21191,23482,24117,31900,33250,    28136,  28746,16846,32293,31667,31112,34615,30115,7416,5981,2684,3665
Baicheng,5220,6225,17043,17152,16944,    15870,  14133,13608,15046,19632,18705,15571,15554,7038,7206,3422,3174
Haerbin,39339,43364,60319,60751,58232,    54022,  51879,54000,90208,80740,65987,60028,49346,26217,19168,0,0
Qiqihaer,49187,49821,50576,51854,52933,    58091,  48755,54940,4875,4875,4875,4357,32861,0,0,0,8451
Jixi,11369,13932,13930,12930,21933,    21900,  20060,19762,23323,24068,21384,21879,17665,9327,6725,0,0
Hegang,11021,11485,11423,31373,34331,    36766,  36277,32703,15685,16573,14501,13749,13740,5382,5278,0,4832
Shuangyashan,15344,15192,37590,38766,42264,    48382,  47382,54489,32641,29662,17556,21231,18086,13497,10678,8635,9880
Daqing,43340,50024,61097,61594,60916,    57254,  59814,60515,56926,55054,47034,38435,34170,17322,15525,13286,13309
Yichun,8184,8445,9710,10577,12072,    9761,  10086,10515,15541,17002,20252,17543,17778,11177,9991,0,4160
Jiamusi,23423,23524,39868,40740,35187,    33088,  33770,37268,14434,13045,12930,11688,10008,10333,5049,3521,3521
Qitaihe,14390,16454,24638,34441,33973,    33544,  29858,18767,18415,17502,16594,16548,14280,12332,8669,7076,5792
Mudanjiang,32602,26648,44202,44302,44749,    41961,  40597,42691,23157,23140,23131,20291,21546,7330,7213,6674,3999
Heihe,7369,8353,15116,15000,19172,    20783,  20313,16790,20429,24491,24508,18888,17488,9218,0,0,0
Suihua,6562,4614,15562,13408,10086,    11983,    1996,1998,10612,13356,14210,13180,8761,5235,6451,0,0
Shanghai,300734,349461,375231,374327,364416,    298000,  239348,221476,210091,240100,172900,155360,104900,67376,12651,9100,7646
Nanjing,141577,144364,149171,145751,138352,    137577,  134026,115507,122156,119155,110665,103949,101021,28639,15416,12375,9969
Wuxi,89504,133468,149865,141992,116586,    96064,    93710,99857,96415,86833,83213,78847,76092,61633,50154,40242,28198
Xuzhou,142658,137464,187974,121000,83174,    125875,    86519,85851,143068,142678,134558,111130,102162,84995,60172,18221,24104
Changzhou,45668,62958,86215,83847,72231,    66656,    62255,48000,43734,35984,35830,35308,34420,31683,28167,22888,19656
Suzhou,216870,231704,242362,228962,228962,    176990,    147286,496377,191925,183401,164970,168413,150010,109594,84388,61674,50393
Nantong,68607,80663,101318,97498,87281,    72153,    66166,60740,65253,69821,63010,61812,55062,37115,14518,8299,6224
Lianyungang,46560,44679,40967,39507,32607,    33565,    27245,34430,45390,40629,43462,47569,41579,36705,18160,9501,6348
