city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,73,77,79,82,83,82,88,89,89,91,89,89,90,91,92,92,93
Tianjin,37,40,42,45,45,45,55,55,55,55,55,55,55,55,57,56,56
Shijiazhuang,27,30,32,32,32,35,40,46,47,48,49,48,49,49,49,49,44
Tangshan,11,8,8,8,8,8,8,9,9,9,8,8,7,10,10,11,11
Qinhuangdao,5,5,5,5,5,5,6,7,7,7,13,13,13,13,13,13,7
Handan,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
Xingtai,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Baoding,10,10,9,10,11,12,12,14,14,14,16,17,17,16,16,16,16
Zhangjiakou,5,3,3,3,3,4,4,5,5,5,4,5,5,4,5,5,5
Chengde,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,6,6
Cangzhou,4,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,8
Langfang,9,8,8,9,9,9,11,11,12,12,12,12,18,0,13,13,13
Hengshui,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Taiyuan,27,33,32,32,34,35,36,42,43,43,44,43,43,44,44,46,45
Datong,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yangquan,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3
Changzhi,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6
Jincheng,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
Shuozhou,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3
Jinzhong,2,2,3,3,5,7,7,8,8,8,16,16,16,16,17,17,17
Yuncheng,1,1,3,3,3,3,3,4,4,6,7,7,7,7,7,7,7
Xinzhou,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2
Linfen,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5
Lvliang,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
Huhehaote,17,17,17,19,19,21,21,22,23,23,23,23,24,24,24,24,24
Baotou,6,6,8,8,8,8,9,8,5,5,5,5,5,5,5,5,5
Wuhai,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Chifeng,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4
Tongliao,1,1,1,1,1,1,3,3,3,3,3,3,3,0,0,0,3
Eerduosi,1,1,1,1,1,2,2,2,2,2,2,3,4,4,4,4,4
Hulunbeier,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4
Bayannaoer,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Wulanchabu,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3
Shenyang,27,27,29,30,30,30,40,41,44,43,46,47,47,47,47,47,47
Dalian,18,18,21,21,21,23,31,31,31,29,30,30,30,30,30,30,30
Anshan,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2
Fushun,3,3,3,3,3,3,5,6,6,6,5,5,5,7,7,5,5
Benxi,1,1,1,1,1,1,1,2,3,3,3,8,7,7,7,7,7
Dandong,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Jinzhou,5,6,6,6,6,7,7,9,9,9,9,9,9,9,9,9,9
Yingkou,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Fuxin,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Liaoyang,3,3,2,2,3,3,4,4,4,4,2,3,2,2,2,2,2
Panjin,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Tieling,2,2,2,2,2,2,2,4,4,4,4,5,4,4,4,4,4
Chaoyang,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Huludao,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
Changchun,28,27,36,28,26,26,26,36,36,37,37,37,37,38,40,40,40
Jilin,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Siping,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
Liaoyuan,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1
Tonghua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baishan,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Songyuan,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Baicheng,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Haerbin,32,33,35,36,37,40,48,49,50,49,50,50,50,51,51,51,51
Qiqihaer,3,3,3,3,3,4,5,5,5,6,6,6,10,6,6,6,6
Jixi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hegang,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1
Shuangyashan,0,0,2,2,1,1,1,1,1,1,1,1,13,1,1,1,1
Daqing,3,3,4,4,4,6,6,8,7,7,7,7,7,7,6,6,6
Yichun,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jiamusi,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5
Qitaihe,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mudanjiang,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Heihe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suihua,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Shanghai,57,59,60,60,60,61,66,66,66,67,68,68,67,64,64,64,64
Nanjing,39,38,38,41,41,41,42,42,42,43,53,44,44,44,44,53,53
Wuxi,9,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12
Xuzhou,6,7,7,7,7,7,7,8,8,9,11,9,9,10,10,12,10
Changzhou,8,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10
Suzhou,12,13,16,17,18,18,19,20,20,24,25,21,21,22,22,26,26
Nantong,8,6,6,6,6,6,6,6,6,7,8,8,8,8,8,9,8
Lianyungang,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,5,5
Huaian,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Yancheng,3,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Yangzhou,3,5,5,5,5,5,5,5,5,7,7,6,6,6,7,9,8
Zhenjiang,4,5,5,5,5,5,5,5,5,6,6,5,5,6,6,8,8
Taizhou,3,5,3,3,3,3,3,3,3,6,7,3,3,3,3,7,7
Suqian,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3
Hangzhou,35,36,36,36,36,36,36,37,38,38,38,38,39,39,39,40,40
Ningbo,12,14,13,13,15,13,15,14,14,14,14,14,14,14,14,13,14
Wenzhou,6,5,5,6,6,6,6,6,6,7,8,8,8,11,11,11,11
Jiaxing,8,8,6,4,4,4,5,6,6,6,6,6,6,6,6,6,6
Huzhou,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Shaoxing,4,4,5,5,5,5,7,7,7,7,9,9,9,10,11,11,11
Jinhua,6,6,6,7,8,8,8,8,8,7,7,9,2,2,8,8,8
Quzhou,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Zhoushan,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Taizhou2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Lishui,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2
Hefei,31,38,38,39,43,44,45,46,48,50,50,50,50,50,50,50,51
Wuhu,8,10,9,11,11,11,10,10,11,10,10,8,8,10,9,9,9
Bengbu,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5
Huainan,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Maanshan,1,2,3,4,4,6,6,6,6,6,6,6,6,4,4,6,6
Huaibei,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Tongling,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Anqing,2,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5
Huangshan,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Chuzhou,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
Fuyang,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5
Suzhou2,4,4,4,4,3,3,3,2,3,3,2,3,3,3,3,3,3
Luan,3,3,3,3,3,3,4,5,5,5,5,5,5,4,4,4,4
Bozhou,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chizhou,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Xuancheng,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
Fuzhou,31,29,36,37,35,34,34,31,31,32,32,32,32,32,35,34,35
Xiamen,6,10,12,13,15,15,17,17,17,17,17,17,16,16,16,16,16
Putian,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Sanming,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Quanzhou,13,14,15,15,15,15,17,17,17,17,17,18,18,18,18,18,18
Zhangzhou,3,3,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7
Nanping,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Longyan,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ningde,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
