city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,0.903978969,0.91354855,0.911099447,0.912820845,0.914227479,0.917830577,0.918728982,0.918841042,0.921231225,0.922051848,0.924132597,0.92433084,0.924966483,0.925571499,0.925373539,0.927006149,0.926871257
Tianjin,0.806617199,0.813463534,0.810491913,0.809494059,0.82009914,0.836896253,0.838207093,0.835520712,0.792850127,0.796968589,0.806632756,0.809883283,0.827082572,0.844930332,0.875669725,0.886682114,0.893850162
Shijiazhuang,0.835194893,0.839768141,0.846577782,0.849750442,0.852134881,0.857813534,0.864260777,0.864110314,0.869255768,0.882293543,0.883988889,0.885800051,0.886703528,0.890609957,0.893280444,0.900799938,0.903677295
Tangshan,0.857867042,0.857350067,0.856947951,0.858116345,0.852835427,0.859777389,0.855622789,0.861049168,0.859280201,0.84645277,0.872842222,0.873064368,0.877952974,0.882706282,0.877884198,0.876898471,0.884267387
Qinhuangdao,0.86521751,0.869828828,0.868151402,0.868311613,0.864925472,0.859438215,0.855585422,0.855595622,0.85594296,0.865446989,0.878647547,0.882441617,0.881265592,0.881708505,0.86953809,0.880958165,0.876209771
Handan,0.874508482,0.877529354,0.877107452,0.877550619,0.878888654,0.884292036,0.889535977,0.885039768,0.889652702,0.888596888,0.874452472,0.879998835,0.883594415,0.882825954,0.885964953,0.889972937,0.884107662
Xingtai,0.869853001,0.87189362,0.870907213,0.871074805,0.869087104,0.868797687,0.868915292,0.87163353,0.871630931,0.868312748,0.873620588,0.873052373,0.872023414,0.873793964,0.864584,0.86952471,0.866790164
Baoding,0.861560341,0.861924746,0.850380544,0.856757944,0.85236054,0.855903077,0.860271759,0.858334454,0.845119731,0.825256808,0.831871595,0.834506486,0.830781888,0.83682346,0.867056935,0.873236413,0.880957493
Zhangjiakou,0.85539483,0.859012146,0.86883983,0.871393564,0.869247903,0.87230445,0.874716441,0.877522694,0.886294446,0.895173795,0.894300682,0.89426281,0.895882645,0.89544523,0.875665565,0.872862037,0.871249361
Chengde,0.878222594,0.876254641,0.869791941,0.870404198,0.874224951,0.880501141,0.880448125,0.879720352,0.882633883,0.886461203,0.890891966,0.88973805,0.890489879,0.891157361,0.884633562,0.88233755,0.878944985
Cangzhou,0.87191808,0.872714026,0.88718933,0.888341668,0.888289611,0.894992933,0.891105781,0.890982934,0.885761641,0.88584012,0.887453005,0.890970314,0.892479875,0.894929941,0.884823644,0.88696253,0.882356062
Langfang,0.85043139,0.852722922,0.847996941,0.845453434,0.851876713,0.855259268,0.845049855,0.83290303,0.81363586,0.825812077,0.835794127,0.826527549,0.841163925,0.844159048,0.849083112,0.86413591,0.865943733
Hengshui,0.853061034,0.851472109,0.85180325,0.851032559,0.85128263,0.854409524,0.86005398,0.856060847,0.860674733,0.863523223,0.870929364,0.871944655,0.876361132,0.880373302,0.873506492,0.873120835,0.860036792
Taiyuan,0.870396146,0.868396247,0.871717546,0.863804331,0.866035605,0.87226478,0.877087479,0.867843509,0.877227887,0.869090282,0.885348189,0.89422532,0.896393008,0.897420615,0.894841889,0.902721398,0.907973546
Datong,0.86491414,0.850807131,0.844595279,0.850162303,0.851229386,0.857499192,0.840125479,0.839345978,0.834417215,0.844632673,0.850439345,0.835240331,0.832203946,0.833480947,0.832237146,0.830967817,0.876879951
Yangquan,0.799964527,0.782254935,0.775914266,0.770483852,0.766208885,0.747248478,0.753563292,0.74311784,0.736393102,0.736485977,0.745458456,0.776765437,0.784233386,0.78056162,0.787381691,0.814695254,0.852942242
