city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,41.68364061,31.74160927,42.89150504,33.67234469,45.32334372,45.21521714,50.04535129,52.43599936,54.58095313,63.34643545,65.19714351,67.18914054,71.69565864,65.59867938,69.47534952,79.48837209,82.87115247
Tianjin,24.60043197,27.12884028,23.97185168,26.7238563,27.34647065,26.69604797,27.82188929,28.91607859,29.94078683,30.92025775,31.9312749,32.79236746,34.93134677,36.21072797,39.16857143,39.75970425,41.89620939
Shijiazhuang,14.30626792,14.15726663,13.91674755,14.87174029,19.65656248,19.88866816,20.58399239,21.90646609,22.02045523,23.00009947,26.9726874,24.90291736,28.7498542,30.61753372,35.44398767,38.12423625,37.55513308
Tangshan,15.66942289,16.53780613,15.72686177,15.92362888,19.06411283,18.42036715,19.02711541,21.43265306,21.85049518,24.07387436,24.5485312,23.53159851,24.24366854,24.65394737,24.75496689,29.91688654,32.10582011
Qinhuangdao,15.40854038,14.8937713,16.24318117,16.32565766,21.58766016,18.55168795,20.03202897,21.98057579,22.6673568,24.68406593,26.06422959,27.86174178,28.23366256,20.2114094,31.70469799,32.31666667,32.72425249
Handan,11.80622805,10.45114959,10.55391712,10.90236619,12.06769601,12.00543057,12.7942128,13.0389206,13.32755102,14.90282952,15.60362173,16.3623118,16.85338668,18.8,19.82492864,22.19470699,24.56644675
Xingtai,11.24595469,11.16418888,10.82686496,11.73276745,12.8375655,12.93957755,13.43389505,13.80407907,14.2882345,17.25959609,18.37593394,19.1810066,19.38902344,20.33502538,22.19367089,24.97114178,26.28214732
Baoding,8.094857843,9.428639688,9.382239029,9.893497758,12.79385453,12.5861631,12.73457517,13.83364484,14.22417507,16.79293576,17.55219521,17.78957045,20.17152031,21.03645402,23.6030025,25.50331126,28.04197531
Zhangjiakou,11.28083302,11.88920012,11.66581536,11.0292983,13.55483617,13.69678247,13.88678592,14.01592377,13.3932392,14.22502135,15.26879417,15.68928724,15.91224068,16.56595745,20.2172043,22.15268817,23.11612903
Chengde,13.56597783,13.86841084,13.74833924,13.71697231,18.54234239,18.81260491,18.97233202,19.26748177,18.60272509,19.82754046,20.32266596,20.9666404,21.36262587,22.18276762,25.61052632,27.78534031,29.46997389
Cangzhou,12.10432686,11.98775318,12.38408178,12.29644641,13.90174236,14.15293621,14.89477352,16.57978629,16.69025585,19.54862977,20.54487604,20.83420094,22.74394339,23.64615385,24.72107969,26.7037037,28.26683609
Langfang,12.65365148,13.14709353,12.31452869,12.9062421,15.95082865,16.51317723,17.87191832,18.10653429,18.67968934,19.95614035,20.48058712,19.7491119,20.45843905,20.40638298,25.05696203,28.3006263,33.48033126
Hengshui,9.906858594,11.19559707,12.26683907,12.45178542,14.59572077,14.46671753,15.0434364,15.75874602,15.89221014,17.73056058,18.89608939,19.82545294,21.09627206,16.2,24.25110132,25.56140351,29.2139738
Taiyuan,37.34270006,38.34427909,38.529334,37.59818818,38.40589907,40.24928518,41.95606924,43.95622435,46.01917808,49.33570257,51.46394558,52.2207195,54.56054874,56.31081081,58.20054201,61.05570292,62.96354167
Datong,25.07772371,23.41497597,19.40298507,23.11590649,52.83110335,23.75320513,27.56337136,26.35822494,26.08341173,27.17908579,25.81333333,26.50943396,28.93238884,29.52515723,29.76100629,29.90880503,31.91823899
Yangquan,23.36091661,23.43255225,26.31871624,27.15195346,27.8930131,26.46513066,31.86458893,29.79813427,28.74429224,29.03103709,28.22908817,29.62462462,20.23305085,28.89473684,29.49242424,30.75,32.12121212
Changzhi,14.75787613,15.23617964,14.99273118,13.28334895,14.22791847,18.63164325,32.11479538,21.46648971,23.06909961,23.01100863,22.78795038,23.15153302,23.68116372,23.71091445,24.41420118,25.6519174,27.90294118
Jincheng,19.01996884,19.43920829,19.57896724,18.66335516,27.88647506,28.16914121,18.34387845,26.65680063,24.61609195,25.83409716,26.58458732,35.09365007,37.06252279,25.14545455,25.92760181,26.58371041,27.36486486
Shuozhou,31.4454776,16.49857411,16.39895662,34.202217,36.12818836,34.63298318,23.03488594,22.1726284,19.94785632,19.8443804,19.94266055,19.05929304,21.75097517,17.34355828,17.58536585,19.19631902,23.29878049
Jinzhong,18.14721229,20.41683,20.25568274,20.17096774,18.91168599,20.98458635,23.765625,19.92771685,20.99907207,20.52,20.16944024,19.70953101,20.68494813,20.52108434,21.47289157,22.23652695,23.94626866
Yuncheng,10.40018041,10.52856532,15.3502937,16.82887267,32.17956196,32.37685222,35.17135936,39.14588628,39.74840333,39.64388835,39.42381317,39.2136329,22.33045864,20.59698682,22.57894737,24.33918129,25.83268482
Xinzhou,15.72915607,17.21919008,16.92235389,17.84344462,20.84653614,20.62586559,20.27304421,19.82441879,19.9806514,23.41612903,37.93192036,43.0304,44.62351559,19.08116883,19.23051948,19.69805195,20.93159609
Linfen,15.78755469,14.16285232,13.64749824,16.7238278,18.17947577,19.334599,14.0833791,14.72834538,21.19063849,22.22248354,22.22144195,22.91608392,24.4130147,24.39400922,25.5034642,26.79445727,27.62645012
Lvliang,11.72652408,15.05861648,16.18594704,28.83515269,30.8872798,30.75963147,32.0213073,33.24467392,29.22661871,32.3520447,25.54709317,16.5958536,17.18024156,18.58823529,18.36989796,18.95685279,20.65736041
Huhehaote,24.67156015,27.65253843,26.39467891,28.90968908,27.89349755,27.69059296,27.31670845,30.42341871,28.57942316,20.72079896,23.05128205,23.53930223,37.22860257,37.43983402,42.0781893,44.34146341,46.46987952
Baotou,26.09918952,30.51750381,30.83317409,30.48820677,30.34016775,30.89180749,30.96680177,32.44767971,32.7276826,33.43624161,36.01777778,42.57487707,34.62878585,36.89285714,38.33928571,39.32589286,41.09777778
Wuhai,71.97115385,25.71631542,27.60380422,42.02998847,24.12997904,28.69276984,26.23803579,24.05660377,26.8207024,28.92335766,30.03616637,29.24187726,38.07597213,37.40909091,34.90909091,35.09090909,37.02272727
Chifeng,16.25083836,16.56898712,16.74152257,16.5989205,15.85794112,16.80212053,17.57878003,18.58697077,18.87584257,21.87337381,22.76114581,16.23014169,24.49257506,24.825054,25.21956522,26.98039216,29.7
Tongliao,20.0937601,15.6990769,15.83371048,14.87632396,16.26502214,22.11283605,23.35194129,18.19579542,19.16276164,19.24953096,20.62266501,20.53224796,10.85261609,18.70532915,22.51265823,23.83860759,63.53943218
Eerduosi,19.73229389,18.79155403,19.65036994,18.31914894,18.43878047,30.96399225,31.00749264,35.95616223,38.12262958,42.25509533,44.67271549,46.32692308,48.04856344,32.13207547,35.10559006,37.49382716,37.98170732
Hulunbeier,27.65294772,27.53248671,27.75555556,27.10031116,25.12936132,25.43305931,26.13703268,27.04017693,27.16346154,27.85660661,28.95339652,27.38623543,28.32626302,29.12741313,37.01153846,31.25,32.20392157
Bayannaoer,12.84278658,11.88241246,12.27611304,16.63786857,19.30334613,22.07027027,22.71206001,20.92411721,21.73982869,22.94054633,23.12772926,24.25531915,25.40927304,26.18285714,28.48275862,29.02873563,30.17241379
Wulanchabu,8.835920177,8.802739121,8.806693087,11.41788898,27.22859354,26.95830866,26.73270744,27.0294753,26.91828255,27.36933798,13.96046594,14.42238267,14.66024026,13.43430657,14.49264706,15.33210332,16.72118959
Shenyang,27.10491946,26.11728422,27.56345105,26.14418102,27.75547008,27.53009769,28.33438002,28.98693719,30.4441677,31.31760486,32.17164076,32.58757526,33.94942567,36.10899183,38.25373134,40.38337802,42.10846561
Dalian,24.61439589,25.59650997,24.75899032,25.87225563,24.41930853,25.40583163,27.17852257,27.06670759,27.08751062,28.59224123,29.56382079,30.14302541,31.54525238,32.69295302,34.11932773,36.50588235,37.86477462
Anshan,19.78683967,19.76134202,19.65539063,19.79080097,19.72591006,19.21632235,18.96997415,15.89300435,15.58589306,15.56221461,15.47169811,15.50832855,15.54977604,16.03468208,19.41860465,19.54385965,20.82647059
Fushun,20.43287355,18.36979723,20.4019787,18.29834748,17.89737171,18.25350598,20.56062172,20.49703499,22.35347569,23.45645235,23.8853211,23.10947562,24.66629588,25.86511628,26.8056872,26.37320574,25.67149758
Benxi,23.04253417,21.81272356,22.19309463,22.35881675,24.24184138,23.76333034,24.3663965,19.37257439,19.0926766,18.87075718,19.49441891,17.36842105,17.45916275,18.34,26.7972973,26.69863014,28.1862069
Dandong,16.96791311,16.3962319,16.22179133,16.33679697,17.50823723,18.42192007,18.63666337,18.89294001,14.24305268,15.48856549,23.12473926,20.94363257,21.25551123,22.74369748,24.08085106,25.24786325,26.69098712
Jinzhou,17.67326894,17.1160343,20.3619616,20.72121604,17.25865357,16.84129082,17.11531642,17.00340522,30.25300032,16.60279311,16.61327231,29.83622666,30.87982549,31.99006623,20.64527027,21.5220339,21.37883959
Yingkou,14.7600349,17.84456139,14.37123151,13.10368703,21.03746398,20.427716,20.67307692,25.70373201,19.25690021,20.34028073,21.72903226,21.98885555,22.50881266,24.99570815,25.65517241,28.18181818,28.25541126
Fuxin,16.84281422,17.15767635,16.0110027,16.30823444,17.94685865,18.51813364,17.63145577,20.29836781,19.66684019,20.77244259,14.52642595,14.57591623,15.43780018,15.87301587,24.44623656,24.03243243,24.03804348
Liaoyang,18.61804223,18.04177403,17.96055162,17.55135579,20.05125968,19.78842903,19.04839765,21.36700851,21.90789474,22.02995008,22.35555556,21.6286826,22.27313366,23.39106145,25.94915254,28.04571429,30.35632184
Panjin,24.92965672,22.53205128,18.95346991,23.4497954,22.62164691,19.44272446,27.01330667,27.1847619,27.1570122,25.81521739,30.17829457,30.75851393,29.29597036,29.70769231,31.21538462,30.66923077,31.86153846
Tieling,14.23657494,11.30712645,11.99801686,11.87692914,17.10870989,17.17713202,11.38665621,18.30902835,23.00426369,19.11978822,19.39383902,18.8410596,19.20567281,19.72,19.3877551,19,17.87197232
Chaoyang,11.37890045,11.91508314,11.29775049,10.97094801,11.25940734,11.2959052,10.51371862,11.66136069,11.73020528,12.26071638,12.72164948,12.95948326,18.89997067,20.3313783,22.21428571,23.61011905,24.29253731
Huludao,12.36414545,10.91408683,11.16104048,12.21387891,16.72766416,16.18045649,16.42399121,16.37622005,17.36580164,17.42857143,26.88102894,17.87317421,11.68868261,15.92142857,17.25631769,19.02173913,18.7826087
Changchun,21.24667586,21.03038674,20.15311005,21.33484836,21.00676989,21.4835289,21.94051553,23.23788691,23.43265949,24.44840798,24.53035738,24.93771535,27.28864598,28.22177955,28.19626168,32.58322237,33.49071618
Jilin,19.77988879,24.34334724,25.95412737,26.92825946,24.67007188,24.18033722,24.47533263,26.71013524,23.52642511,24.363974,24.67956187,25.66284779,26.97775901,28.99526066,30.99277108,32.28985507,33.39320388
Siping,20.15489638,21.53386029,21.3353822,18.65435117,19.00283624,18.86479441,18.86942675,18.82249303,18.64555849,19.20606601,19.78684531,19.93599512,20.59066818,21.49382716,22.43125,23.71159875,24.68238994
Liaoyuan,20.61996779,17.37376996,14.57404555,18.83622789,20.01620746,19.5167437,19.36500242,20.15353535,20.71836735,20.36065574,21.78835111,22.4137931,23.10430464,23.48333333,23.79661017,25.94871795,26.76068376
Tonghua,19.9275042,20.29241574,20.18912112,19.57863188,15.88294919,15.81027668,16.52925356,22.99221652,23.26106195,24.18967053,24.33198381,24.18541854,25.90682949,26.97727273,27.68202765,27.93981481,28.42790698
