city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,36631000,42833100,68863101,78702835,93533200,104880500,121530000,141135800,162519300,178794000,195005600,213308300,230145900,256691300,280149400,303199787,353710000
Tianjin,24476600,29318800,36976200,43591500,50504000,63543800,75218500,92244600,113072800,128938800,143701600,157269300,165381900,178853900,185491900,188096400,141040000
Shijiazhuang,13779438,16334594,17867750,20266320,23607230,28383712,30012797,34010186,40826833,45002098,48636583,51702653,54405988,59277293,33962728,60826180,58100000
Tangshan,12953220,16263343,20276374,23621410,27794190,35611900,38127192,44691588,54424541,58616363,61212139,62253023,61030601,63548675,32053543,69549700,68900000
Qinhuangdao,3870301,4534443,4911470,5520509,6835782,8089526,8045421,9304969,10700808,11393664,11687549,12000219,12504439,13493526,10146857,16355631,16120000
Handan,7625607,9364918,11572862,13594576,16081303,19903633,20152800,23615569,27890278,30242864,30615043,30800054,31454319,33370903,13518281,34545705,34860000
Xingtai,5146061,6355770,6807485,7909297,8907487,9890039,10562913,12120943,14289231,15320620,16045756,16469408,17647323,19757460,3706907,21507611,21200000
Baoding,9248071,11108786,10721423,11999550,13751799,15808884,17300023,20503000,24499000,27209000,29043115,30352036,30003400,34771269,13573495,35897885,37720000
Zhangjiakou,3199369,4001082,4157878,4841665,5663192,7203705,8003407,9664158,11186100,12335529,13169971,13489726,13635443,14659911,7093733,15366202,15510000
Chengde,2349782,3006156,3602892,4279969,5535406,7149413,7601136,8889619,11042013,11819213,12720917,13425500,13587278,14385741,4045897,14815102,14710000
Cangzhou,6288615,7741155,11307973,12816666,14653827,17161616,18012287,22031199,25851998,28124212,30129850,31333822,33206328,35446800,8667928,36764121,35880000
Langfang,5285451,6048000,6212260,7298720,8839313,10514939,11474791,13510982,16114156,17943291,19431340,21759631,24738649,27063015,8648469,31082249,31960000
Hengshui,3967576,4738046,5196937,5469867,5583839,6338142,6521058,7818229,9290736,10110263,10702335,11491345,12200080,14201825,5534965,15586909,15050000
Taiyuan,5157089,6404993,8931620,10136482,12549447,14680851,15452409,17780539,20801243,23114326,24128724,25310917,27353442,29556045,31483179,38844778,40290000
Datong,2515415,3047269,3702507,4059573,4908465,5696268,5962587,6959095,8435722,9313878,9674311,10017256,10533703,10257962,8866388,12719598,13190000
Yangquan,1259180,1515009,2002511,2374387,2732413,3106529,3487100,4293774,5281145,6019519,6118094,6166154,5957009,6228625,4440648,7336944,7190000
Changzhi,2556615,3184746,3987461,4603998,5506252,6821316,7752901,9202336,12186017,13286098,13337207,13311415,11953423,12704767,3909537,16456336,16400000
Jincheng,1985067,2445115,3159994,3644086,4199561,5275490,6060499,7305428,8949773,10128134,10319143,10358203,10402416,10493400,2681085,13518530,13550000
Shuozhou,1185962,1452132,1816505,2341263,3321931,4204038,5613074,6701476,8552006,10071198,10264012,10034100,9011301,9180640,4583205,10656332,10620000
Jinzhong,2034428,2539148,3310171,3856794,4701976,5678066,6368106,7638366,8902376,9865596,10222281,10413000,10461155,10911041,2698240,14476039,14600000
Yuncheng,2936189,3682811,4708299,5502093,6195053,6914452,7230077,8274316,10168221,10686498,11401151,12017177,11740143,12223486,2461333,15096407,15630000
Xinzhou,1093822,1301939,1671700,1944549,2572845,3112485,3493072,4374561,5545452,6209439,6547321,6803394,6812356,7161357,1383021,9891298,10020000
Linfen,2953034,3759352,5231628,5887387,6580869,7546316,7668659,8901440,11360573,12210801,12239045,12132401,11611090,12051761,2829721,14400430,14530000
Lvliang,1349617,1795855,3095173,4057513,5076745,6296438,6115606,8455392,11307118,12304159,12286015,11013462,9558013,9953079,813938,14203195,15120000
