city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,44.94,45.11,39.96,47.18,40.54,40.55,52.52,53,47.68526489,48.45240848,48.72521462,57.84385781,60.44082664,60.24431401,61.44297277,61.98110465,63.49606299
Tianjin,17.45,18.63,20.45,21.21,19.91,0,21.63,24,21.80650341,22.4718083,23.10358566,24.89131504,27.66189502,31.67528736,42.19904762,42.97504621,38.73736462
Shijiazhuang,21.56,22.45,24.14,28.58,29.61,27.92,33.89,36,9.300110298,8.789416095,9.216507177,11.15230754,11.77539754,11.96820809,13.19527235,14.27800407,13.93060837
Tangshan,24.3,24.68,24.89,25.45,25.86,26.8,28.46,30,11.85185185,12.73928283,13.02017057,12.77748274,12.75166896,11.70526316,12.37748344,12.55672823,12.85449735
Qinhuangdao,45.05,46.6,47.48,38.34,49.19,41.17,49.97,56,17.084196,17.72664835,17.72121626,37.21450356,21.33337843,19.42281879,19.91610738,20.42,20.79734219
Handan,31.16,32.15,33.77,24.71,26.21,26.25,41.34,49,8.159183673,8.084785017,5.20221328,7.860126275,7.772696961,9.462559242,7.625118934,7.807183365,7.89066918
Xingtai,47.81,53.06,51.89,52.5,60.19,35.21,61.34,53,5.117383634,5.059515849,5.047843754,5.712252555,3.800663771,3.791878173,5.221518987,5.407779172,5.892634207
Baoding,24.01,29.98,30.29,29.85,30.88,40.11,42.02,48,4.460239511,4.352870915,4.793367128,4.794417516,6.675317545,5.738193869,6.441201001,7.242549669,6.626337449
Zhangjiakou,25.66,27.27,31.05,25.14,25.63,28.82,30.22,32,6.127513907,6.793339026,7.234953952,7.238583013,7.355919916,8.608510638,7.470967742,7.789247312,7.898924731
Chengde,24.97,24.8,34.66,43.21,41.44,59.24,59.22,66,10.09350788,10.73228973,12.42528432,11.57341739,11.91578397,12.25848564,13.08684211,13.01832461,9.493472585
Cangzhou,16.91,17.11,20.2,21.61,22.34,24.16,26.52,30,2.534022863,2.618216013,2.720403023,2.739458615,2.959863629,3.058974359,3.498714653,3.560664112,3.82592122
Langfang,44.33,44.15,46.08,50.9,50.18,29.36,51.8,53,10.07766533,10.22160665,10.29356061,10.28863233,9.723939019,9.772340426,9.814345992,9.949895616,10.05175983
Hengshui,17.3,17.82,19.94,17.13,17.57,26.37,31.25,32,3.729619565,3.693490054,3.888268156,4.359257623,5.38407111,4.50989011,7.971365639,8.201754386,8.170305677
Taiyuan,20.58,21.45,23.29,23.41,26.06,31.46,27.01,29,27.25479452,28.96664844,30.44897959,34.63348661,33.38142029,34.2027027,35.26558266,35.53846154,35.90625
Datong,15.23,14.21,14.48,14.53,18.99,19.03,25.41,30,13.03857008,14.1014402,13.67407407,14.28360849,14.44563911,14.72955975,15.05660377,15.25471698,0
Yangquan,10.88,12.33,14.21,14.05,14.24,25.83,26.32,27,14.8173516,14.72369417,14.6948003,16.98198198,17.19128329,17.18796992,17.36363636,17.28030303,17.28787879
Changzhi,15.08,16.33,27.36,27.62,28.36,28.36,28.95,36,7.131319174,7.10800357,7.111636149,7.193396226,9.386967493,9.327433628,7.443786982,8.672566372,12.73823529
Jincheng,23.95,25.33,30.09,42.54,42.23,37.48,42.77,43,6.868965517,7.22731439,7.446420429,7.775239836,8.230040102,8.209090909,8.452488688,0,9.310810811
Shuozhou,12.97,13.45,16.21,17.24,17.76,16.28,23.83,24,9.942062572,10.25360231,10.67087156,11.18015964,9.912698904,8.588957055,9.762195122,15.38650307,15.32317073
Jinzhong,13.26,14.07,14.58,15.41,17.36,19.97,22.72,23,4.772656975,5.089230769,5.170953101,5.506807867,7.140690408,7.409638554,0,0,18.90746269
Yuncheng,9.23,5.79,5.86,7.3,9.47,13.46,14.04,15,2.370814786,2.931665063,3.102986217,3.214013709,3.406507252,3.962335217,4.150097466,1.214424951,4.212062257
Xinzhou,1.7,2.23,2.46,2.5,3.09,3.82,4.39,9,1.683327959,2.174193548,2.784200385,3.2192,3.849667232,3.766233766,3.912337662,4.025974026,4.143322476
Linfen,13.89,14.16,15,15.91,12.3,12.1,14.35,16,3.235628266,4.190968956,4.232209738,4.272727273,0,0,0,0,4.596287703
