city,year,city_code,inventor,inventor_log,fdi_log,scicost_log,scipop_log,div_log,gdp_log,wage_log,unemp_log,unistu_log,college_log,studentteacher_log,docs_log,net_log,green_log,SO2_log,fdi_centered,scicost_centered,scipop_centered,div_centered,fdi*div,scicost*div,scipop*div
1,2003,110000,169,2.230448921,2.273847388,5.03193334,0.021868636,0.279662147,7.563848787,4.403349967,0.002622774,2.594826699,1.86923172,1.164530436,1.630261455,3.539756425,1.662190991,5.056954373,0.760656329,1.134130067,0.015280535,0.025735368,0.019575771,0.029187255,0.00039325
1,2004,110000,275,2.440909082,2.425145717,5.122402667,0.01931422,0.281839485,7.631779517,4.472394533,0.002406515,2.634652528,1.892094603,1.14339936,1.515100021,3.536647596,1.663795122,5.056954373,0.911954659,1.224599394,0.012726119,0.027912707,0.025455123,0.034181883,0.00035522
1,2005,110000,227,2.357934847,2.476641219,5.197115081,0.015374173,0.281283287,7.837986582,4.533921075,0.003868892,2.658565776,1.903089987,1.106179621,1.642380473,3.508506018,1.612359948,5.023145417,0.963450161,1.299311808,0.008786072,0.027356508,0.026356632,0.035544634,0.000240356
1,2006,110000,415,2.619093331,2.581023,5.286094781,0.027503278,0.281674296,7.895990382,4.603336351,0.003754644,2.666684574,1.919078092,1.073248077,1.539983211,3.518737684,1.682866796,4.97199907,1.067831942,1.388291508,0.020915177,0.027747517,0.029629685,0.038521642,0.000580344
1,2007,110000,418,2.622214023,2.62172621,5.957808826,0.02742848,0.281993546,7.970965798,4.66753308,0.00378762,2.671225747,1.924279286,1.097304718,1.6657999,3.541558101,1.618466492,4.918606915,1.108535152,2.060005553,0.020840379,0.028066767,0.031112998,0.057817696,0.000584922
1,2008,110000,632,2.80140371,2.671060413,6.049949116,0.029513155,0.282810239,8.020694753,4.750730962,0.00343607,2.647236546,1.919078092,1.075991584,1.664784998,3.529519446,1.618571028,4.761807602,1.157869354,2.152145843,0.022925054,0.02888346,0.033443273,0.062161417,0.000662155
1,2009,110000,738,2.868644438,2.692242384,6.101428452,0.029655985,0.283013636,8.084683501,4.764481676,0.002833557,2.666770622,1.949390007,1.056855709,1.707956197,3.607881509,1.728516105,4.777593548,1.179051325,2.203625179,0.023067884,0.029086857,0.034294897,0.064096529,0.000670972
1,2010,110000,1208,3.082426301,2.70494748,6.252647966,0.029682392,0.283038999,8.149637192,4.817454105,0.00265931,2.663135315,1.954242509,1.048903332,1.727833936,3.63733415,1.73239376,4.754692271,1.191756421,2.354844694,0.023094292,0.02911222,0.034694675,0.068554757,0.000672326
1,2011,110000,1460,3.164650216,2.742753523,6.262628094,0.030894258,0.283579636,8.210904946,4.879873184,0.002755445,2.656854921,1.954242509,0.994500904,1.74492599,3.61241342,1.687397537,4.787460475,1.229562464,2.364824821,0.024306157,0.029652857,0.03646004,0.070123813,0.000720747
1,2012,110000,2005,3.302330929,2.792935263,6.300909462,0.031546411,0.283765099,8.252352943,4.930984771,0.002402697,2.652662059,1.963787827,0.986617755,1.808524494,3.644387165,1.694187448,4.773281668,1.279744205,2.403106189,0.02495831,0.02983832,0.038185417,0.071704651,0.000744714
1,2013,110000,2463,3.391640703,2.811967849,6.370465531,0.033567831,0.284234997,8.290047085,4.973117551,0.002242515,2.479935034,1.954242509,0.975402696,1.820839249,3.60910574,1.696576666,4.716353978,1.29877679,2.472662258,0.02697973,0.030308218,0.03936361,0.074941987,0.000817708
1,2014,110000,3030,3.481585936,2.831888865,6.451343936,0.033066733,0.28427974,8.329007757,5.014526461,0.00241236,2.650239507,1.954242509,0.951033874,1.833715217,3.617869385,1.769701137,4.605822012,1.318697807,2.553540663,0.026478632,0.030352961,0.040026383,0.07750752,0.000803705
1,2015,110000,3812,3.581266805,2.985483828,6.459084301,0.031951867,0.284423172,8.362003244,5.053362756,0.002947036,2.645579452,1.959041392,0.910782825,1.861508476,3.56329697,1.78845705,4.343822011,1.47229277,2.561281028,0.025363766,0.030496393,0.044899619,0.078109833,0.000773503
