city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,3464.424366,3439.706249,3223.824003,3300.700568,3478.830589,3383.694272,4052.979138,4337.44554,4095.504343,4408.477842,4064.423004,4147.292635,3657.448707,3492.296405,3988.226637,4614.825581,4931.997137
Tianjin,2209.212743,2868.371669,2207.604518,2411.765326,2605.463455,4759.978119,5443.64386,1767.172666,1908.771578,2154.651631,1872.50996,9973.443494,11734.34609,2720.306513,3228.571429,4537.892791,4729.241877
Shijiazhuang,830.3038956,956.4895646,1073.229807,1257.264502,1424.009214,990.1291284,1074.123449,1326.905657,1672.532839,1850.193972,1913.875598,2088.008586,2264.686443,2707.129094,3268.242549,3808.553971,3735.741445
Tangshan,467.2367899,607.1232414,370.0438062,453.9311937,495.4033616,720.321904,957.5309988,1215.262585,1497.020757,1658.128876,1854.609449,1832.182687,1841.157147,2210.526316,2556.291391,2902.37467,3452.380952
Qinhuangdao,587.6395038,1067.910231,917.6464255,801.6111784,1000.042356,1122.634249,1381.666899,1367.030871,1809.458247,1923.076923,2015.71575,2067.0959,2164.795021,3020.134228,3221.47651,3666.666667,4285.714286
Handan,433.5274009,359.2204784,525.0232377,1413.360177,748.3578027,1036.73929,1059.702791,618.6559419,785.3183673,926.3921055,1006.036217,1049.052938,1076.498047,1402.843602,1807.802093,1644.612476,2186.6164
Xingtai,312.7097567,141.2935101,176.2872548,203.4699254,290.728105,404.490628,521.2863365,658.9224485,832.1671869,949.578708,1061.738105,1190.322163,1307.038788,1725.888325,2037.974684,2321.204517,2446.941323
Baoding,205.0799458,329.3591723,361.5600136,316.0368147,309.3632892,517.4472073,608.0430718,823.4519944,1057.685018,0,1348.913137,1454.120007,1622.039777,2054.681027,2368.640534,2582.781457,2790.123457
Zhangjiakou,107.3755023,375.9948424,355.0067734,395.2999273,468.9509602,499.8694716,661.2532716,795.6113054,879.796748,1046.114432,1092.310987,1195.049082,1236.647406,1765.957447,2258.064516,2666.666667,2838.709677
Chengde,217.0695705,227.4208747,285.2690434,292.7524676,411.2867617,494.8941469,544.1907988,683.4861647,907.9802298,1087.821703,1084.369214,1208.300499,1281.54832,1749.347258,1947.368421,2513.089005,2767.624021
Cangzhou,45.343076,321.764602,239.1851041,229.8342621,295.4884319,453.0967469,574.9296167,693.6939895,855.510343,0,1100.357948,1197.293077,1330.130689,1871.794872,2287.917738,2733.077905,2909.78399
Langfang,428.0627001,604.3096814,382.0517404,436.9547637,569.6411686,759.7629078,969.9416931,1253.040428,1630.866086,1777.469991,1988.636364,2020.426288,2190.271724,2553.191489,3459.915612,4029.227557,4265.010352
Hengshui,255.2679327,347.0441982,251.0763116,291.0078327,401.7088815,477.2421447,657.3337612,858.4552476,1082.615489,1220.614828,1273.743017,1414.052143,1592.004599,2021.978022,2422.907489,2785.087719,2969.432314
Taiyuan,1455.519243,1002.319696,1193.939305,1344.137377,1534.842813,1815.928712,2306.0172,2624.183311,3052.375342,3362.493166,3619.047619,4084.392751,3511.25507,3648.648649,3821.138211,5225.464191,5781.25
Datong,337.92917,367.0581954,559.5846272,579.1172143,631.8337535,621.5897436,769.9176172,775.3393594,972.3894638,1314.96556,1481.481481,1474.056604,1676.048321,1666.666667,2106.918239,2452.830189,2515.72327
Yangquan,41.06460853,211.2333756,412.718462,461.5596258,717.0149719,969.9860832,1223.612497,1500.4282,1727.549467,2043.906132,2185.380558,2327.327327,2421.307506,2781.954887,3257.575758,3484.848485,3787.878788
Changzhi,386.3880295,325.1987806,399.0139688,466.4604811,489.1908586,532.4282224,727.0363741,903.3600772,1110.723901,1338.887236,1476.668636,1621.462264,1632.774232,1622.418879,1982.248521,2654.867257,2911.764706
Jincheng,352.0983808,450.5325165,491.1734164,335.4617295,442.5043854,529.2522226,683.3279453,831.827221,1155.429885,1466.544455,1595.987232,1781.63545,2005.103901,2454.545455,2533.936652,2488.687783,3333.333333
Shuozhou,273.3939138,171.4683175,252.4368479,292.3009741,309.2282538,417.6516079,481.8389782,487.4834978,776.9930475,1152.737752,1032.110092,1197.263398,1300.229088,1533.742331,1890.243902,2269.93865,2500
Jinzhong,373.3600236,291.7810009,380.1356684,382.6677419,512.5748694,668.7857817,765.4,952.7448903,1282.087844,1415.384615,1603.630862,1543.11649,1789.722745,6054.216867,2168.674699,2305.389222,2179.104478
Yuncheng,131.9385789,144.9412818,204.6705827,253.4468775,275.5374992,560.6728074,720.7815416,790.184244,919.2955293,1154.956689,1167.687596,1370.906321,1666.013328,1902.071563,2202.729045,487.3294347,2996.108949
Xinzhou,187.9971519,250.1414999,289.3685589,288.8470133,292.188386,345.3999868,386.1653253,978.7709316,1186.713963,1258.064516,1091.843288,1184,1272.347645,1298.701299,1655.844156,2077.922078,2247.557003
Linfen,65.26494895,231.4863888,256.8843831,300.0719511,404.1788667,534.4786071,746.3756178,1263.008781,1267.950466,1246.472248,1498.127341,1491.841492,1509.556655,1843.317972,2170.900693,2332.56351,2598.607889
Lvliang,219.3183118,174.231457,173.3601598,192.5797983,278.2043662,402.6737116,551.0509329,694.0154893,839.4450154,1066.802134,1167.809089,1279.754287,1212.96583,1483.375959,1683.673469,1928.93401,2284.263959
Huhehaote,406.4659404,653.553796,762.1715303,929.0069969,1051.353921,1173.776193,1454.74337,1232.79317,1554.024968,1823.708207,1923.076923,1891.551072,1886.159779,1908.713693,2139.917695,9756.097561,9718.875502
Baotou,336.0223407,477.8633942,563.7301739,696.2949014,786.0857409,801.7909625,910.6926545,1019.909008,1033.958521,1029.082774,1777.777778,1877.514528,1652.818726,2098.214286,2589.285714,3080.357143,3288.888889
Wuhai,194.6634615,217.3099692,599.6288564,719.2618224,714.884696,727.1597265,1450.270495,1264.150943,1293.900185,1642.335766,3616.636528,1985.559567,2922.004945,3181.818182,3863.636364,4545.454545,5000
Chifeng,70.76011625,108.2050823,145.5827532,112.5030541,155.2068379,233.74006,273.3073455,414.2089396,500.1087193,628.7944493,775.3607581,837.2692143,1102.392841,1317.4946,1413.043478,1764.705882,1978.26087
