city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,107629,132556,157439,193238,907420,1121886,1263072,1789154,1830745,1999444,2346742,2827117,2877956,2857785,3617191,4258712,4334165
Tianjin,19403,22915,27989,33063,223384,286530,339953,432530,601721,764529,928087,1089967,1208200,1251740,1159606,1057097,1099548
Shijiazhuang,3253,3828,4519,4542,31567,40922,38732,45021,63205,75058,80065,72908,90482,122300,100610,118720,123373
Tangshan,2046,2232,2508,3287,29494,39038,38572,47728,61956,105895,90477,81583,64203,85842,71110,89057,98211
Qinhuangdao,455,478,618,745,5251,5069,5986,7799,10790,11971,13887,18960,9195,29152,30410,30638,31044
Handan,1198,1529,1948,2141,15761,17851,20145,21509,26699,48570,54004,67640,41304,44242,50523,53089,66530
Xingtai,682,792,921,884,5733,6318,9614,8418,10777,11810,12837,19207,13815,24504,24803,29004,30392
Baoding,921,968,1231,1223,6225,9041,8998,21708,15555,19048,24567,22710,22274,37453,44738,43063,56776
Zhangjiakou,1038,1203,1492,2158,4209,6500,30870,11969,10084,13035,13595,15201,11801,22530,20821,28555,23308
Chengde,810,1095,1122,1227,7063,8662,9519,10349,13700,15705,21420,16660,15566,24083,21410,25418,18670
Cangzhou,1677,1977,2223,2393,8082,9104,10110,11816,11325,14767,20687,34954,18456,43578,46063,57651,49422
Langfang,1463,1885,2124,2308,13695,14872,20618,23539,27916,33688,31634,29444,41606,76455,66840,56004,74277
Hengshui,835,1006,953,1076,4024,4894,5510,6741,6706,7336,7906,8237,8505,17033,31181,45227,55720
Taiyuan,1220,1559,2142,2896,34608,41158,37219,47015,77561,95583,112969,141469,128030,83197,185297,250447,232044
Datong,1230,1319,1013,1179,6159,7630,7002,8952,10589,10385,11571,12915,7813,9014,22012,21855,22603
Yangquan,365,417,515,524,4401,5444,5960,7190,7521,9741,9244,8329,5815,5324,9088,6539,7447
Changzhi,928,1027,1256,1395,9232,9832,11906,14644,23059,25755,28230,14734,16194,35306,19147,19628,16841
Jincheng,514,773,900,1268,7115,9015,10231,12768,15073,19185,21618,19770,22428,9704,13307,15057,28419
Shuozhou,174,192,268,297,3456,5183,6209,7314,9782,12425,14053,9705,9247,4645,8127,5616,6581
Jinzhong,345,350,532,497,5866,7569,8495,10119,11939,14058,17287,19176,19036,15134,24569,22871,27282
Yuncheng,450,515,561,818,4996,6461,6192,10801,11987,12035,18197,18307,15455,13375,20828,18367,15386
Xinzhou,446,476,503,611,4657,6809,6967,8927,11537,16441,17761,8607,9208,10618,18721,13771,13478
Linfen,592,734,791,964,7440,7410,7612,10401,11554,14582,16918,13922,9008,9366,17935,11190,8229
Lvliang,616,723,849,998,3400,5718,6270,11657,14162,18700,25881,15845,10688,16646,24553,17641,21344
Huhehaote,516,669,689,717,7150,14818,17595,19254,22286,23137,31291,36005,25504,42768,36607,33397,71868
Baotou,1290,1896,1848,2141,16705,20895,27231,29227,36556,38200,44914,51548,53969,58364,39163,48268,42806
Wuhai,242,262,263,303,2861,3310,5930,7768,11108,10680,24220,14979,19522,17931,7506,10096,8888
Chifeng,866,1047,1144,1195,4950,5677,6945,7972,7937,11618,12947,17614,14338,13924,12202,19085,17697
Tongliao,1171,1294,1311,1863,7649,10413,13333,17410,17234,15192,21200,16102,19700,13200,13238,11453,12769
Eerduosi,826,1154,1575,1718,11335,16431,32606,28551,70905,47928,39883,23481,37109,20642,23874,34890,49245
Hulunbeier,1023,965,917,1192,8131,12930,15631,15864,20269,24046,31339,35378,39814,34328,18871,15352,13596
Bayannaoer,1510,1653,1703,1992,3163,4326,3726,8524,6460,7116,9305,6018,6902,8585,7707,6865,6329
Wulanchabu,702,829,888,942,4103,6650,5539,5589,7601,5657,10230,14170,8072,6565,7579,7360,5927
Shenyang,7955,9044,10759,12037,99395,125526,136292,153492,203333,246407,277931,265649,234542,223880,161669,181126,199013
Dalian,3860,4437,5797,5281,118943,146311,185188,266033,331652,392872,462566,430258,182829,205481,121861,356622,274946
Anshan,1337,1404,1285,1359,14731,15135,15862,19615,20051,24548,25441,44872,23040,11573,15463,9300,12357
Fushun,1345,1398,1599,2002,6065,7989,7599,11547,15848,25483,26890,26845,15075,4272,2514,3868,2917
Benxi,823,959,1104,1279,6128,8070,9399,11413,21555,23826,28830,30196,12273,5920,4933,2700,2242
Dandong,2150,2435,2994,3106,6156,6786,7147,8668,12109,14020,21594,16876,14620,11081,9276,9632,3874
Jinzhou,1643,1657,1831,1983,5512,8825,10545,12317,13347,24489,25658,25753,8827,9223,23899,14216,49387
Yingkou,647,760,765,869,2908,7000,15069,20125,29962,35089,37897,10696,8490,3707,4868,4201,10941
Fuxin,551,569,471,513,1432,2600,2047,2136,8796,11967,12707,4332,3969,3076,2806,2007,2695
Liaoyang,945,902,1000,960,4525,6848,12470,14625,18499,20250,20528,21674,9107,6044,4953,5622,5804
Panjin,556,618,759,895,4145,4389,7813,9665,14022,18520,21346,19896,11933,12559,9144,6528,5723
Tieling,1359,1570,1897,2089,6181,10699,11787,18663,31322,37072,34341,28469,10511,8271,7941,7834,8899
Chaoyang,626,586,722,1009,6495,8071,8427,9807,18075,21032,16567,17341,5144,3364,3797,4106,4025
Huludao,478,514,491,714,2204,4000,5191,9411,16857,20550,23792,23000,6462,2631,2857,12405,3485
Changchun,1906,1981,2297,2712,21955,24004,29889,34947,44103,43835,78825,70087,89975,95407,136176,121743,112892
Jilin,1705,1757,1942,2462,8105,12647,29274,23965,24818,33701,44332,56610,34798,27194,39761,20098,17580
Siping,581,614,631,1166,1593,3366,2311,3759,4947,5498,7121,9359,5799,4000,6956,5216,3486
Liaoyuan,174,210,257,332,1170,2516,2968,3033,4128,4606,5233,7655,7856,3497,3709,3396,2651
Tonghua,1163,1115,1210,1583,6887,10668,15499,19529,24483,40961,73107,48658,47010,66721,59836,40403,30684
Baishan,270,496,692,550,2093,3035,2787,5211,4899,6951,12137,14574,8006,11475,7760,5148,4803
Songyuan,217,258,305,382,1436,2054,3958,1480,1832,2777,2828,2488,2099,4305,2619,1966,6170
Baicheng,1193,1290,1278,1696,4445,3832,4242,4685,5368,6133,7107,8468,9443,9390,7910,12740,9782
Haerbin,5755,6424,6728,8919,61695,72491,63155,89360,115052,127906,119158,100276,90855,76353,87425,119777,156306
Qiqihaer,781,701,922,1143,5499,8547,7973,14807,21437,10395,9359,12913,21961,4490,9390,11429,13142
Jixi,338,343,366,495,1759,2195,2600,3308,4459,8942,3826,4930,5423,5142,6681,4734,5430
Hegang,188,194,250,294,1459,1607,1969,4610,4801,4227,9053,5061,3787,3458,2427,3576,4927
Shuangyashan,237,233,303,336,932,2181,1171,3377,5405,5405,5995,6013,3718,1289,1007,2533,2747
Daqing,370,404,215,368,10591,11906,13540,12421,13910,19822,25545,8309,5049,12134,4971,7125,33781
Yichun,469,614,806,1029,2714,3022,3432,3432,9122,4350,5452,4182,4047,2629,2618,1856,2140
Jiamusi,364,519,805,648,2637,3400,3300,4213,6130,11706,6277,3379,9615,4281,2339,2682,4740
Qitaihe,197,256,358,353,925,1284,1244,1110,1832,2355,1513,2160,1415,753,3204,1526,2815
Mudanjiang,597,682,926,1025,5587,7361,11234,20693,28856,19337,23774,17817,14678,6267,10470,10647,10647
Heihe,295,308,331,554,2413,2980,3084,3204,4957,5253,11473,8179,11406,6426,5345,5086,3840
Suihua,552,579,640,712,3528,4476,5398,6391,9152,16397,8514,8315,20211,6065,5379,4235,2817
Shanghai,113439,135100,159199,202682,1057666,1202741,2153111,2020326,2184975,2454279,2576603,2622913,2718505,3417109,3898971,4263655,3895424
Nanjing,9663,13070,16679,24975,66156,94776,137913,165110,240803,350019,401226,447152,520300,531300,672942,805440,976200
Wuxi,2773,2539,2903,5187,62599,81112,146915,189731,242450,294889,351021,354743,359700,372400,422110,496770,552100
Xuzhou,1762,1700,1976,2691,19163,26697,37033,45433,103526,125901,144855,174827,191900,207600,215540,254531,258900
Changzhou,1436,1803,1771,2069,45106,54996,57968,87084,125299,189317,221119,217044,227500,240200,250894,253942,267300
Suzhou,3976,4262,4914,5224,144946,227688,287710,357105,536050,665898,763672,757988,883300,952000,1240275,1522777,1815800
Nantong,2000,2370,2530,2504,42706,50815,71348,99923,130711,143698,190657,217879,242700,228329,272407,377790,330100
Lianyungang,1322,1237,1654,1402,12556,22196,25956,42649,58925,74926,88633,100369,110400,100300,88065,99205,140700
Huaian,718,497,627,867,12640,22805,29008,44824,62492,74402,88813,106174,120500,92900,97407,93497,90700
Yancheng,889,933,1106,1162,22498,23500,44782,60207,119015,161213,197879,236313,289100,323600,250301,284450,266400
Yangzhou,937,1191,1095,1588,23401,30588,40905,67789,96914,98110,104640,113031,131900,122800,149805,160500,173400
Zhenjiang,1207,1705,1545,1476,17619,24743,37078,52399,70044,102373,107034,118714,122700,134800,126531,165004,183100
Taizhou,1009,1672,1045,1320,20067,26998,37075,43819,52803,58192,77095,76515,112100,116500,132911,151232,177500
Suqian,204,176,165,174,8417,13839,23977,31925,46159,71731,92241,98220,86400,86300,74948,117461,148400
Hangzhou,6677,8174,9508,12028,121559,185485,220721,288559,349228,401878,462600,524082,701490,749190,923236,1182090,1481879
Ningbo,5103,6340,9576,11732,152480,155104,169678,221455,281531,324076,375758,428212,473092,566227,587880,782647,1241564
Wenzhou,4366,5381,6595,8538,41628,46974,56927,66690,73204,85041,99913,113033,119951,134104,157623,182536,235282
Jiaxing,3762,4958,5792,8716,41431,52238,59007,75362,94763,104554,120567,140870,163574,179357,202514,238688,330388
Huzhou,823,1109,2669,3254,23294,28155,32490,36729,45753,51861,60105,69814,83942,93215,112968,157795,187149
Shaoxing,3802,5512,6681,8198,44978,61925,77951,95542,123294,132309,158729,184555,209746,228725,260669,315725,468932
Jinhua,3247,3927,4950,5604,43544,54369,62193,75525,83449,104206,121364,133838,160920,182163,186460,211407,247933
Quzhou,847,1015,1183,1623,13466,17343,21800,27460,32412,36604,49415,58557,67922,75844,90512,110800,153971
Zhoushan,1087,1360,1682,2005,14826,17765,21057,24390,27489,34873,40225,44763,51012,58786,55548,67847,74615
Taizhou2,3764,6223,5717,6431,32356,40669,45914,57589,56423,78933,88293,98099,167047,115254,137217,169642,287879
Lishui,2223,2681,3230,4141,16437,19339,21086,24478,29826,35420,38239,46070,54488,63560,72667,93193,114303
Hefei,1413,1635,2277,2972,27946,55678,96571,191560,190348,226720,260165,290529,372666,1016998,695921,919741,1303222
Wuhu,158,236,1660,2129,18770,32736,72630,100092,145933,203766,263329,342871,357319,517841,574155,598199,511512
Bengbu,380,450,416,599,3494,20023,23764,34633,45090,56770,72384,76245,112203,133824,126849,106434,166238
Huainan,210,104,174,168,4124,6576,9451,12680,20076,29331,32914,23349,23365,29203,35440,41055,50272
Maanshan,248,340,341,617,10411,11657,18550,24460,34956,50509,60893,57483,66451,103014,123050,116137,108798
Huaibei,259,257,402,331,2307,3221,6692,8307,11648,14748,13406,16653,13449,9646,15863,10531,8315
Tongling,318,478,658,971,4627,5876,8547,12004,17938,43811,48551,73924,77820,83119,83439,60856,94664
Anqing,701,692,679,1080,3413,9892,16894,24815,34719,45079,55834,61902,71738,78775,95817,105295,113557
Huangshan,297,360,521,633,4281,7491,9745,14074,21190,28881,31778,35777,36897,39754,54102,58540,60796
Chuzhou,809,838,858,1210,4521,6756,7440,13291,17422,31688,34755,46685,62250,77473,105515,109182,140483
Fuyang,518,838,1046,1014,2987,3641,4035,5863,13133,18823,19028,16927,38852,49722,54318,50120,72288
Suzhou2,371,417,494,870,2772,4535,5019,6587,10299,11604,13649,22436,22463,62472,39433,45939,34949
Luan,679,860,853,990,2832,3961,16163,8485,14172,24385,26512,31524,32549,45563,93232,107316,115201
Bozhou,248,228,222,302,1375,1261,1813,3553,8664,9383,15129,14418,28524,26729,53655,52169,57857
Chizhou,48,79,77,114,1381,2629,5604,10216,10150,14134,17887,17075,19072,17851,12792,25808,24401
Xuancheng,290,329,410,391,4171,8206,11192,23084,42518,54472,68173,76879,76908,90305,112055,139447,156972
Fuzhou,3634,4188,3810,4895,23736,28843,33118,41759,49275,64780,86258,93278,100554,112461,196765,290765,0
Xiamen,4465,5120,5132,5935,64953,83370,83952,95969,121892,138129,163750,173878,185764,212673,237386,285559,287913
Putian,862,963,1121,1240,5656,6184,9222,12234,14497,18832,26022,35031,27503,24704,31558,32205,384332
Sanming,1029,1322,1532,2135,7435,8354,12707,12692,16210,25314,33911,39532,44556,44261,46013,34507,24260
