city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,0.051643727,0.045476366,0.036034394,0.065376905,0.065193431,0.070318802,0.070670865,0.07073597,0.073727949,0.075341511,0.080358346,0.079112524,0.076345915,0.087142619,0.087651252,0.087531714,0.087128765
Tianjin,0.027590179,0.026713424,0.027354214,0.027435897,0.029068025,0.031852849,0.029308207,0.031461221,0.019907545,0.028606019,0.035548942,0.035638085,0.038393026,0.040158059,0.044323099,0.041540555,0.041149891
Shijiazhuang,0.022544466,0.023143905,0.023910308,0.023992653,0.02433936,0.025011798,0.026586826,0.026500297,0.028891509,0.032745314,0.03444564,0.036722327,0.038923069,0.039218582,0.039001611,0.040941882,0.032432781
Tangshan,0.004882131,0.004896475,0.004997974,0.005055881,0.004928025,0.004881809,0.004643774,0.004760771,0.005841924,0.005753138,0.008583247,0.008193851,0.009150667,0.009316559,0.007379991,0.006587635,0.010224471
Qinhuangdao,0.015706806,0.01622575,0.016827784,0.018335684,0.014595942,0.014835747,0.015013966,0.016470588,0.014725569,0.015223881,0.016959064,0.017364371,0.017665273,0.017516311,0.015192182,0.017362385,0.021301689
Handan,0.012255714,0.012597889,0.012411653,0.012634771,0.013577023,0.016085791,0.016773017,0.016793353,0.017282683,0.015813953,0.01318408,0.013535105,0.014177991,0.014909702,0.015594908,0.014355445,0.013348569
Xingtai,0.012080141,0.01211387,0.014497224,0.014290058,0.014268367,0.012264433,0.010755814,0.011972634,0.012503473,0.010467706,0.010503282,0.011989981,0.011969111,0.012084922,0.012720822,0.011854731,0.0114631
Baoding,0.026526047,0.029941073,0.029449018,0.025026869,0.025312595,0.028177282,0.029185185,0.028250994,0.028814185,0.034653465,0.044544545,0.041939921,0.044919363,0.041802852,0.055579979,0.071538444,0.073982565
Zhangjiakou,0.009997298,0.011065007,0.010183876,0.010446076,0.010788133,0.011005809,0.011487116,0.012158956,0.012868633,0.013647643,0.017948718,0.020513359,0.022184169,0.021859062,0.018468123,0.019703874,0.019180621
Chengde,0.01108742,0.009186352,0.008920986,0.009255364,0.009925558,0.009665727,0.009834776,0.011275272,0.01336478,0.014015152,0.019471947,0.021634286,0.020646829,0.019652586,0.018315376,0.018199937,0.024833624
Cangzhou,0.006923077,0.006914213,0.005609493,0.006490697,0.006372226,0.006497726,0.006708304,0.008237986,0.011733224,0.011259542,0.009541985,0.009096237,0.007758913,0.042062703,0.044899874,0.039516677,0.03376702
Langfang,0.020356234,0.022964509,0.019031858,0.01850362,0.019836639,0.035450517,0.032151144,0.031755196,0.029850746,0.042042755,0.028018223,0.025274869,0.027299946,0.028124782,0.00802746,0.021425825,0.02501721
Hengshui,0.009459459,0.009650735,0.010133579,0.010261194,0.009919698,0.01047619,0.010318949,0.010555301,0.008531157,0.008247423,0.009797297,0.010073818,0.009664929,0.009961648,0.009433093,0.007291506,0.011015555
