city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,13.60597108,12.91231365,11.76966843,10.83717525,11.51136568,10.91218925,10.39871011,10.19188739,8.874176913,8.69656146,8.449366552,7.933751618,7.142969822,6.661605912,6.453065206,6.241110047,6.454238049
Tianjin,14.96789146,14.4938039,13.87437706,13.26079646,12.72653081,11.97712693,11.4460737,11.26283216,10.9068747,10.55066876,10.48946001,10.40816327,10.04540429,9.759951665,9.914001798,9.982983551,10.2383761
Shijiazhuang,19.22141683,18.35325426,17.69697533,17.27180429,16.8059931,16.09128914,15.51426568,14.52416542,13.59419893,13.44143435,13.02130553,13.12010444,12.88965592,12.87271772,13.31975241,13.58764028,13.40645948
Tangshan,16.41891694,15.54708126,14.34596632,13.21406728,12.55760735,12.1016001,11.6456197,11.53186481,11.18951276,11.37322985,10.51350373,11.4382786,11.21920022,11.22223322,11.763937,11.58530858,11.56773212
Qinhuangdao,15.14921982,14.48170732,13.64989694,12.92038167,11.88867439,11.80583787,11.44396376,10.95745546,10.62004738,10.61990615,11.18548529,10.64626133,10.56426595,10.15307716,8.898624136,9.203260584,11.5057145
Handan,23.2680793,22.40325866,21.29655957,19.72150622,17.43789035,15.60431037,13.84819488,13.07931438,13.38161853,14.03632932,12.80220769,14.43503775,13.66007076,14.65837835,13.36746947,15.07762622,14.63745003
Xingtai,21.83002183,21.1062591,20.48419832,19.0712817,17.80610671,15.73727285,14.66611113,13.62105428,14.06365351,14.54774926,13.21237994,14.33741531,13.4999425,14.85108774,14.41687533,14.19765912,13.90236017
Baoding,18.96138987,18.53524072,17.66283255,16.79611188,15.99477279,15.45203193,14.19409777,13.85798882,13.66083256,13.94265131,13.55662756,14.01974391,14.09348442,13.77018044,13.43066958,14.69459371,14.50933911
Zhangjiakou,17.68011618,16.48150409,15.45943962,15.24926686,15.1618083,15.34058746,14.60053386,14.33392766,14.05153719,13.73130395,12.81488867,11.9820421,12.22120936,12.67025657,11.93046245,13.08978402,13.49606854
Chengde,15.51119504,15.15151515,14.81247366,14.62188547,14.76586103,14.96444479,14.82094968,14.8267267,14.39171559,14.35125076,13.46366341,13.50720773,13.69680851,14.01021922,14.51495847,14.64693185,14.19547164
Cangzhou,18.7854485,18.46197543,17.67570834,16.58390536,15.53474729,14.26116167,13.16352401,12.92767791,13.0981276,13.03418803,12.65044129,13.2247389,15.54582948,12.91302697,13.19167142,14.64075253,14.84960459
Langfang,18.90792414,18.39669974,17.4403736,17.28324361,16.63101913,15.4937803,14.11271267,13.73103152,13.88526728,13.61012725,12.1073929,13.25050413,12.9879741,13.6374907,13.06001931,13.50514884,13.60757837
Hengshui,19.31034483,18.53770242,18.22665438,17.42480604,16.43286573,15.56647056,14.12703729,13.51445489,13.32422478,13.62810418,12.34678457,12.56286728,12.93094629,13.19583598,14.38848921,14.87273191,14.2532455
Taiyuan,14.04212638,14.02524544,9.140893471,9.063406804,9.195682664,9.380073357,14.05631836,14.00723707,13.77737226,12.93919866,12.11396259,11.79304,10.99404002,10.57585532,10.32791118,10.15795622,10.03512293
Datong,16.88321221,16.5646381,15.99169263,15.36883845,15.30425344,15.00728187,14.29113444,14.07137565,13.60691145,11.37627948,10.05039039,10.78848406,10.12783915,9.527439024,9.785374127,9.818681678,9.800078401
Yangquan,17.54001316,13.68925394,15.05202727,14.69202582,14.54357916,15.04546234,15.34274536,13.05464403,14.63332774,12.90679305,12.22540592,12.38062756,11.71032357,12.11072664,12.10235131,12.28070175,12.18875152
Changzhi,18.42751843,18.88574127,18.54692814,18.23529412,17.61347814,16.64124255,15.89583616,15.60477684,14.22105328,13.18235995,13.28351478,12.66851577,12.91236019,10.14077786,11.22408557,11.23744051,10.17781237
Jincheng,13.55258403,14.86436269,13.44437835,11.97663096,11.81519551,12.0251858,17.16082659,17.4015748,16.8059248,15.47401171,14.19104003,12.91196783,11.94589878,10.79330815,10.87350489,10.11494253,9.992732558
Shuozhou,16.15508885,20.10516548,20.79252004,19.39492166,18.09001371,17.57446304,17.21027065,17.14745308,14.66025583,13.04244347,13.02145923,13.02338479,11.71243224,12.57374988,10.7372942,11.59161837,10.69423403
