city,year,city_code,inventor,inventor_log,fdi_log,scicost_log,scipop_log,div_log,gdp_log,wage_log,unemp_log,unistu_log,college_log,studentteacher_log,docs_log,net_log,green_log,SO2_log,fdi_centered,scicost_centered,scipop_centered,div_centered,fdi*div,scicost*div,scipop*div
Beijing,2003,110000,169,2.230448921,2.273847388,5.03193334,0.021868636,0.279662147,7.563848787,4.403349967,0.002622774,2.594826699,1.86923172,1.164530436,1.630261455,3.539756425,1.662190991,5.056954373,0.760656329,1.134130067,0.015280535,0.025735368,0.019575771,0.029187255,0.00039325
Tianjin,2003,120000,9,1,2.248897036,4.287891266,0.011819945,0.25686614,7.388751108,4.270665097,0.005605742,2.424569445,1.579783597,1.203247572,1.408247293,3.344434079,1.26599637,5.362052491,0.735705977,0.390087993,0.005231844,0.002939361,0.002162506,0.00114661,1.54E-05
Shijiazhuang,2003,130100,0,0,1.461075576,3.512417549,0.009682203,0.263682192,7.139231537,4.090156082,0.001247701,2.313147566,1.447158031,1.305811582,1.184869311,2.919759816,1.353339095,5.326487428,-0.052115482,-0.385385724,0.003094102,0.009755413,-0.000508408,-0.003759597,3.02E-05
Tangshan,2003,130200,0,0,1.471258305,3.311117843,0.002115124,0.269014631,7.112377775,4.013823597,0.002750286,2.055036492,1.079181246,1.241021148,1.221920564,2.670465534,1.403120521,5.398476465,-0.041932753,-0.58668543,-0.004472977,0.015087852,-0.000632675,-0.008851823,-6.75E-05
Qinhuangdao,2003,130300,0,0,1.759726293,2.658964843,0.006768363,0.270729484,6.587744854,4.129707289,0.002462994,2.310285036,0.77815125,1.208151546,1.21506995,2.769849404,1.663229635,4.778375578,0.246535235,-1.23883843,0.000180262,0.016802705,0.004142459,-0.020815836,3.03E-06
Handan,2003,130400,2,0.477121255,1.039412014,3.078819183,0.005290237,0.27288741,6.882274476,4.001856544,0.002014149,1.694268645,0.602059991,1.385035405,1.107421231,2.638017168,1.50731604,5.25310771,-0.473779045,-0.81898409,-0.001297864,0.018960631,-0.00898315,-0.015528455,-2.46E-05
Xingtai,2003,130500,1,0.301029996,0.985244432,2.834420704,0.005214903,0.271807466,6.711475014,4.004377269,0.001108007,1.538097387,0.698970004,1.358506327,1.087992648,2.496528026,1.688508808,5.03922767,-0.527946626,-1.063382569,-0.001373198,0.017880687,-0.009440048,-0.019014011,-2.46E-05
Baoding,2003,130600,0,0,1.409958134,2.964730921,0.011369974,0.269877118,6.966051202,4.024714659,0.001113523,1.959200005,1.041392685,1.300190777,0.958795915,2.314035731,1.398113692,4.756453529,-0.103232925,-0.933072352,0.004781873,0.015950339,-0.0016466,-0.01488282,7.63E-05
Zhangjiakou,2003,130700,0,0,0.766910456,3.016615548,0.004320212,0.268436342,6.505064468,4.021075127,0.001600738,1.758405566,0.77815125,1.271379573,1.089227826,2.034931123,1.425860145,5.205821252,-0.746280602,-0.881187725,-0.002267889,0.014509563,-0.010828206,-0.012785649,-3.29E-05
Chengde,2003,130800,0,0,1.340700637,2.909020854,0.004788707,0.273747061,6.371027757,4.031908726,0.00112341,1.734980264,0.77815125,1.217778508,1.163339645,2.338595068,1.41447195,4.751101962,-0.172490422,-0.988782419,-0.001799394,0.019820282,-0.003418809,-0.019597946,-3.57E-05
Cangzhou,2003,130900,2,0.477121255,1.12566778,3.224791956,0.002996294,0.272286839,6.798555076,3.988872748,0.000986651,1.375048395,0.698970004,1.296345899,1.117414717,1.665984857,1.253095586,4.430671559,-0.387523278,-0.673011316,-0.003591807,0.01836006,-0.007114951,-0.012356528,-6.59E-05
Langfang,2003,131000,0,0,1.692444262,3.165541077,0.008751822,0.267272987,6.723082133,4.054166658,0.000567899,2.044631334,1,1.299025977,1.135248813,2.632520761,1.656385719,4.542090612,0.179253204,-0.732262196,0.002163721,0.013346208,0.002392351,-0.009772924,2.89E-05
Hengshui,2003,131100,0,0,1.244160813,2.922206277,0.004088882,0.267889724,6.598525364,3.974502482,0.0004039,1.255742134,0.477121255,1.307717297,1.037699683,2.408694265,1.26245109,4.620406754,-0.269030245,-0.975596995,-0.002499219,0.013962945,-0.003756454,-0.013622207,-3.49E-05
Taiyuan,2003,140100,8,0.954242509,1.571793463,3.086715664,0.016333411,0.271933599,6.712404711,4.103115828,0.005878066,2.686729059,1.447158031,1.177309233,1.583682692,3.163316227,1.33405144,5.259333415,0.058602405,-0.811087609,0.00974531,0.01800682,0.001055243,-0.014605109,0.000175482
Datong,2003,140200,3,0.602059991,0.122023108,3.090258053,0.004282314,0.270658842,6.400609819,4.013043782,0.006843552,1.876407807,0.698970004,1.25244553,1.41626968,2.530108948,1.21031852,5.092288942,-1.39116795,-0.80754522,-0.002305787,0.016732063,-0.02327711,-0.013511897,-3.86E-05
