city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,0.006057433,0.005556587,0.008948251,0.008682866,0.008759458,0.007943224,0.006545837,0.006142073,0.006364817,0.005547746,0.005176935,0.005570121,0.006808876,0.006707337,0.005960265,0.00744186,0.006692913
Tianjin,0.012991361,0.012621307,0.012466598,0.01229858,0.010908039,0.013407371,0.015308622,0.016345941,0.020182658,0.02053967,0.021603586,0.022153634,0.022379005,0.024683908,0.024764286,0.023853974,0.023546931
Shijiazhuang,0.002877069,0.002990355,0.003063841,0.002411176,0.003272708,0.003667846,0.00520406,0.005148712,0.005065377,0.00531125,0.005331041,0.005211143,0.005191186,0,0.005242343,0.005224338,0.005184316
Tangshan,0.006352863,0.006005042,0.006471988,0.00743937,0.007490685,0.007712535,0.007927238,0.00787551,0.007853073,0.008027096,0.00825775,0.008885024,0.008936103,0.008858816,0.005860397,0.00475277,0.005159788
Qinhuangdao,0.005687365,0.005636647,0.006070557,0.005750695,0.006285341,0.006988281,0.006454185,0.006559487,0.006959972,0.00768853,0.012708917,0.007878346,0.008150115,0.00723557,0.007895638,0.007884667,0.005894352
Handan,0.00464852,0.004331268,0.004561468,0.004445663,0.00456513,0.004673089,0.005037814,0.00523944,0.005397959,0.005512335,0.005209859,0.005197475,0.005642469,0.024756398,0.005856422,0.006060775,0.006179548
Xingtai,0.002554537,0.002753099,0.00317592,0.003338212,0.002994184,0.003098986,0.002794206,0.002883762,0.002853033,0.003004547,0.002495478,0.002697891,0.002646625,0.002551015,0.002459114,0.002602133,0.002421099
Baoding,0.002567271,0.002512313,0.002817052,0.003404998,0.003495456,0.003475778,0.003662143,0.00366965,0.003635737,0.004029349,0.004038148,0.004008524,0.004160657,0.004465617,0.003654712,0.004181209,0.003954897
Zhangjiakou,0.003692636,0.006024632,0.010215639,0.010716475,0.006780699,0.006832945,0.006974541,0.007007318,0.007401797,0.006488685,0.008053116,0.008562527,0.007126714,0.008408936,0.007930968,0.007847742,0.007827312
Chengde,0.002590096,0.00269525,0.004450841,0.005396057,0.00568481,0.006452163,0.00662741,0.006596954,0.004907026,0.005149376,0.005051574,0.004854479,0.0050017,0.004998956,0.005989737,0.006212565,0.005798695
Cangzhou,0.002274431,0.002336464,0.002290179,0.002554969,0.002599257,0.003098155,0.002915122,0.002588488,0.003146026,0.003186459,0.003239427,0.003070536,0.003059817,0.002888974,0.002982391,0.002824138,0.002831131
Langfang,0.001308491,0.001285722,0.001475087,0.001475866,0.00267531,0.002917606,0.002888249,0.002850699,0.002808896,0.002752308,0.00295928,0.002297069,0.002211958,0.002050213,0.002210127,0.001962839,0.002032919
Hengshui,0.000930446,0.001572163,0.001311687,0.001919354,0.002222951,0.004311345,0.004046577,0.004843935,0.005766304,0.005827532,0.005072626,0.005447194,0.005026976,0.005072088,0.005128634,0.005060965,0.004951528
Taiyuan,0.013626756,0.011801229,0.011083169,0.012305774,0.012052574,0.011176471,0.011785714,0.011309986,0.012076712,0.012373428,0.012714286,0.013014877,0.01319007,0.0133,0.013790786,0.013641645,0.013397917
Datong,0.015882671,0.016350774,0.017028949,0.016347883,0.015448258,0.023285577,0.007492712,0.016675065,0.016467858,0.015338447,0.016583704,0.017231427,0.017836949,0.013456918,0.01311761,0,0
Yangquan,0.004014959,0.0045076,0.004440737,0.005913057,0.007164691,0.005548941,0.006808935,0.006889433,0.006953577,0.005980318,0.006491334,0.006944444,0.007365315,0.006684211,0.006167424,0.006103788,0.005742424
Changzhi,0.001784835,0.001674157,0.0019531,0.004568885,0.003866584,0.003974038,0.004326063,0.003524462,0.003653904,0.003676882,0.003553455,0.003873231,0.0039905,0.004212389,0.00427071,0.00419587,0.004987941
Jincheng,0.002237171,0.002179548,0.002272727,0.002615489,0.002749067,0.002836319,0.003218953,0.003107339,0.002781609,0.002423006,0.002055632,0.002231613,0.00279074,0.003188636,0.00279457,0.002361538,0.002052252
Shuozhou,0.001019301,0.001021771,0.001017985,0.001012429,0.002622629,0.003498743,0.004225075,0.003737348,0.003383546,0.003370605,0.003820528,0.003511973,0.004031948,0.003554601,0.003073171,0.003165031,0.002754268
Jinzhong,0.00184163,0.003215079,0.002684995,0.002425806,0.002068625,0.003326518,0.003020625,0.002719965,0.002698113,0.002937538,0.002908623,0.002908623,0.003471759,0.003632831,0.003824096,0.003661078,0.004122687
Yuncheng,0.000717537,0.000629719,0.00064635,0.000648216,0.001365218,0.00217461,0.00251241,0.002084657,0.002186956,0.002192493,0.002626914,0.002775895,0.002814779,0,0.002350292,0,0
Xinzhou,0.003356729,0.002914898,0.002853402,0.002668179,0.002501584,0.00257205,0.002671793,0.002669485,0.002660432,0.002524194,0.002314708,0.0023296,0.002330027,0.003653247,0,0.002152597,0.002679805
Linfen,0.002010695,0.002097567,0.002910431,0.003952752,0.002225293,0.002630117,0.00343218,0.003318165,0.003204272,0.00341016,0.003896536,0.004041259,0.004231171,0.004436175,0.004323788,0.00433903,0.002841531
Lvliang,0.000569027,0.000953476,0.000984889,0.002608263,0.001225819,0.001279771,0.001264793,0.001256878,0.002087873,0.002032766,0,0,0.00314855,0.003043478,0.003005102,0.002910406,0.001490609
Huhehaote,0.010422647,0.012342804,0.011459553,0.011385478,0.010982612,0.011393223,0.011824339,0.012959139,0.014573396,0.004239687,0.01562094,0.015554014,0.016076369,0.016882158,0.017159259,0.017136585,0.017595582
Baotou,0.013331374,0.016028349,0.014783585,0.014984699,0.0154315,0.016412105,0.019091944,0.01783576,0.018200631,0.020826398,0.021654222,0.022174341,0.022895113,0.024001339,0.024660714,0.02438125,0.024035556
Wuhai,0.015901442,0.018943879,0.016237532,0.016147636,0.014675052,0.016573441,0.017032876,0.015471698,0.021179298,0.016441606,0.014990958,0.013873646,0.01711171,0.019118182,0.019602273,0.019602273,0.019109091
Chifeng,0.004470378,0.004577443,0.004715922,0.004771995,0.004958367,0.005154549,0.005254905,0.005472539,0.00571559,0.005448395,0.005654964,0.006048948,0.006172968,0.005422678,0.005959565,0.005852505,0.006293478
Tongliao,0.005170061,0.004923933,0.004857762,0.004654891,0.00469766,0.004967184,0.004704259,0.005178224,0.00524836,0.005262977,0.005290473,0.005381027,0.005496446,0.005689342,0.005527215,0.005699051,0.005895899
Eerduosi,0.006466868,0.00736173,0.006978094,0.00749078,0.007310924,0.007763378,0.00606168,0.005185064,0.005956384,0.008311637,0.009803629,0.012362179,0.014512459,0.01427044,0.013634783,0.01212963,0.014409146
Hulunbeier,0.009382647,0.012572357,0.009111111,0.009281005,0.009334344,0.009609513,0.010229614,0.010267232,0.01068824,0.010615616,0.011529621,0.011304626,0.011139607,0.012300386,0.00674,0.012620703,0.013644314
Bayannaoer,0.006288537,0.006853465,0.006296696,0.006240455,0.00639605,0.006695676,0.010386613,0.004811635,0.009997859,0.010176754,0.006758188,0.006718925,0.008430452,0.008277714,0.008032184,0.006541954,0.00985977
Wulanchabu,0.005321508,0.004852735,0.004873037,0.004810181,0.005226201,0.010723068,0.011463827,0.011566441,0.011344875,0.006278746,0.006403812,0.002513357,0.002913426,0,0.002620956,0.001869373,0.008773234
Shenyang,0.025003338,0.021180625,0.01930916,0.01673418,0.011397636,0.010587378,0.010814598,0.010727904,0.010562059,0.010617826,0.011595654,0.01306144,0.014269109,0.013919074,0.013872456,0.012930965,0.012714947
Dalian,0.017728863,0.015808226,0.012465463,0.010514264,0.00858057,0.009005091,0.011492134,0.012134063,0.013620391,0.014362189,0.016127811,0.015324752,0.016161635,0.016838255,0.010227227,0.01123916,0.010699833
Anshan,0.018191033,0.019050845,0.017602405,0.014773177,0.012494504,0.009054977,0.008955203,0.005671565,0.00571587,0.005841039,0.006325901,0.007987651,0.008909406,0.008802601,0.009076453,0.010711111,0.011298824
Fushun,0.02216215,0.0214799,0.02422345,0.0228477,0.018506615,0.016984632,0.018570145,0.017987868,0.016714221,0.016467396,0.011293578,0.00975575,0.012975992,0.012829767,0.01008673,0.010470335,0.012488889
Benxi,0.029376676,0.027800204,0.024407289,0.023734793,0.021736872,0.01974303,0.019454522,0.01875097,0.017670123,0.017727807,0.019466185,0.018109211,0.018046426,0.014553333,0.015643243,0.014214384,0.014601379
Dandong,0.075442335,0.059853509,0.012301663,0.011380092,0.009997941,0.00970787,0.009891197,0.009115015,0.009353795,0.009500208,0.006373801,0.006505637,0.008970817,0.00892437,0.008434043,0.009936325,0.009603433
Jinzhou,0.014108694,0.017193672,0.013719512,0.013755821,0.011231053,0.005450853,0.005370257,0.005549214,0.004155044,0.003583956,0.004713959,0.007287586,0.009241803,0.008516225,0.008655068,0.009157627,0.009677133
Yingkou,0.011359511,0.011486539,0.011604997,0.010975853,0.007920771,0.007340462,0.009206518,0.008965312,0.007115924,0.005282433,0.005204731,0.006660094,0.007193706,0.007775536,0.008144828,0.008569697,0.010735498
Fuxin,0.01355818,0.012646784,0.014009238,0.011498679,0.010789351,0.010772628,0.009529308,0.009314378,0.00937012,0.010570981,0.010245421,0.008560209,0.009026759,0.011435979,0.010305914,0.010209189,0.010392935
Liaoyang,0.016104195,0.015350036,0.011922422,0.011722816,0.011007743,0.009167348,0.008021583,0.006283002,0.005419408,0.004833611,0.006468333,0.005846026,0.008900313,0.008531285,0.009328814,0.009310286,0.010368966
Panjin,0.009177587,0.013163462,0.011442751,0.005841989,0.010195727,0.009852941,0.011006846,0.000108701,0.014040396,0.013131988,0.013544186,0.010160991,0.013220627,0.014802308,0.012795385,0.013384615,0.012826154
Tieling,0.014500401,0.013723996,0.009909106,0.006627372,0.006075639,0.005360377,0.00604424,0.006059971,0.006088554,0.004581072,0.004816164,0.005730132,0.005944803,0.006957667,0.00735,0.006917123,0.009373702
Chaoyang,0.010930758,0.009022268,0.008146366,0.007846389,0.006196496,0.005359322,0.005164332,0.005058661,0.005175367,0.003886083,0.002815906,0.005483558,0.005292168,0.006261584,0.006561607,0.006688988,0.006531045
Huludao,0.009364845,0.009531782,0.009259097,0.009969166,0.009486903,0.008348787,0.007944875,0.006954747,0.00604337,0.005744286,0.006040729,0.006126826,0.008269547,0.00983,0.009743321,0.011032609,0.011697464
Changchun,0.007912368,0.009116851,0.009075188,0.010171793,0.009984181,0.009910967,0.010680502,0.009383178,0.009208585,0.011655305,0.010947655,0.01119507,0.009305546,0.009331076,0.0094753,0.00920506,0.006646684
Jilin,0.006857507,0.007015172,0.007029689,0.004542096,0.004110754,0.00506879,0.004968451,0.00514734,0.005298408,0.006201021,0.007206479,0.007411737,0.006866319,0.007090284,0.011732771,0.008428261,0.008533252
Siping,0.007997061,0.00858211,0.008509446,0.013289263,0.010986714,0.010799265,0.008765629,0.006504184,0.007312225,0.006935177,0.006471376,0.006640049,0.003270733,0.003240432,0.004357813,0.002738245,0.004728302
Liaoyuan,0.014866345,0.014935473,0.014908811,0.012723584,0.010777958,0.009143761,0.009832768,0.007820606,0.008513469,0.009506557,0.007829368,0.009359606,0.009823675,0.009700833,0.010873729,0.010074359,0.009552991
