city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,392.3930642,430.1739631,454.5811807,463.1780227,468.0571353,442.8503289,463.27,459.4,452.79,448.43,300.95,445.93,441.16,439.6096845,436.2604857,422.3350291,419.4495347
Tianjin,264.8088553,306.8414562,348.571824,376.6316433,386.9627776,398.8533033,414.32,435.83,451.31,476.35,284.87,497.49,499.42,492.1858238,490.1609524,483.6866913,0
Shijiazhuang,204.6589274,233.815051,289.1491427,311.4603513,331.7061934,332.8159921,375,377.01,389.3,393.46,346.79,384.04,408.02,425.6377649,473.4789311,0,506.7205323
Tangshan,112.510619,90.20800766,100.7137759,110.3251196,114.0410675,124.6953017,124.18,132.84,143.64,169.22,431.98,146.84,147.59,152.4723684,163.2940397,175.8456464,193.468254
Qinhuangdao,203.3078415,204.0279893,260.8670686,279.4182648,287.1871801,273.8044429,307.18,305.05,309.94,534.18,259.73,525.25,524.94,517.1174497,516.4899329,504.1966667,314.5282392
Handan,48.46165514,50.37238663,53.73925617,57.89824911,61.05136329,61.65201276,62.84,63.21,63.3,62.16,221.44,57.12,55.73,54.39146919,57.37297812,61.84026465,68.04901037
Xingtai,33.52211435,42.74000327,49.83261243,53.31333236,55.76236541,61.91177303,63.77,64.35,65.65,66.14,219.9,60.42,60.68,62.02284264,65.99493671,64.84943538,70.10736579
Baoding,90.0332411,105.2091374,110.6347913,122.1982135,125.5102677,131.084407,139.9,140.08,143.26,121.26,119.91,134.72,145.21,178.5642088,143.3010842,147.4892384,156.0477366
Zhangjiakou,56.33311871,54.24391979,64.70496791,68.99098344,73.80462837,89.15308808,96.97,96.67,96.45,97.14,143.82,99.02,144.57,37.37234043,116.0623656,125.4107527,141.427957
Chengde,53.32256447,57.06446428,66.69065545,75.29350307,84.2514105,90.31349829,95.54,101.28,107.6,109.47,275.93,106.65,107.61,112.4360313,118.1131579,124.5314136,140.8381201
Cangzhou,22.71637973,27.05634715,31.90507484,38.54092784,46.71379606,52.93338966,59.9,63.43,66.71,68.9,198.66,104.76,71.65,100.3358974,77.8714653,87.40740741,102.8996188
Langfang,109.8233654,147.0037453,172.8017979,164.6727319,185.4725526,202.6966787,255.87,235.34,247.29,242.56,156.11,197.6,338.69,0,259.128692,265.4467641,282.4596273
Hengshui,17.01947502,19.0141695,22.22302038,23.15483092,35.67348659,37.86502046,38.62,39.95,40.32,36.51,575.74,55.68,60.44,34.27692308,49.87444934,41.60307018,47.56768559
Taiyuan,485.1038485,652.2624571,780.0904844,753.271028,839.2333455,876.9175249,885.52,902.08,936.7,979.23,240.85,1084.39,1147.09,1168.2,1192.880759,1178.039788,1310.744792
Datong,74.23290078,77.78630539,87.02126949,90.85826385,97.06547734,108.8621795,118.66,107.67,108.84,116.11,299.9,88.44,90.92,88.49685535,85.96540881,86.51572327,89.60691824
Yangquan,24.76129854,37.65832806,43.58118843,43.20415062,49.62570181,54.42245245,54.81,79.18,81.54,90.83,362.58,103.6,103.86,107.4962406,114.1439394,126,128.3787879
Changzhi,55.56221984,54.34488827,79.05947791,73.6582318,76.11797406,80,92.09,112.26,91.74,90.84,346.41,121.46,117.73,112.4749263,107.1005917,104.4955752,109.0264706
Jincheng,38.07298305,38.19509896,46.05871802,20.78573041,28.21931363,34.33819216,37.52,36.83,22.62,27.07,407.28,29.24,28.63,28.75,26.0361991,23.37104072,18.36486486
Shuozhou,0,0,0,0,0,0,0,0,0,1.89,1056.59,50.74,65.89,69.67484663,64.15853659,65.11656442,67.75609756
Jinzhong,71.92924884,80.68404547,109.7674722,117.4451613,129.6514592,163.0732935,169.16,179.6,191.1,210.24,173.04,423,493.98,530.7138554,550.5120482,576.1766467,599.7850746
Yuncheng,10.66054369,21.18738933,36.06909679,35.97729116,36.290501,30.4865839,36.49,36.2,35.28,39.81,603.29,81.68,102.44,103.9962335,107.8791423,103.9980507,110.1459144
Xinzhou,25.88410809,25.87426723,24.13306925,24.01360771,24.41546313,24.72465871,30.95,59.7,58.85,66.75,200.26,60.48,66.07,87.48051948,87.77597403,73.13311688,92.74918567
Linfen,91.75984443,49.81450253,61.40282797,57.62321621,79.82244501,79.29246157,83.11,87.66,89.93,97.27,223.88,103.26,103.75,109.6428571,101.0762125,98.39953811,99.57540603
Lvliang,22.70101796,28.03656079,37.5045727,40.79314633,42.91581109,42.19525795,37.45,42.56,41.93,40.77,302.88,55.54,59.1,58.82352941,49.25510204,48.71827411,48.81218274
Huhehaote,420.014961,537.065673,635.5098599,698.5913535,747.1381996,822.4297815,896.74,937.77,957.02,986.5,262.61,977.3,985.78,986.4481328,984.8971193,976.6910569,976.6064257
Baotou,121.0935203,162.2383942,220.1031913,260.2325691,280.8434296,313.7169361,379.57,384.45,304.46,307.12,244.54,314.26,323.06,358.2410714,339.1830357,341.1473214,339.6311111
Wuhai,146.3461538,122.5668956,119.1138947,66.98961938,63.4591195,57.46840688,76.61,75,66.31,64.58,202.91,50.54,79.48,109.2272727,114.3181818,117.9772727,134.4318182
Chifeng,9.966465459,15.41249105,17.39950595,20.80806735,25.27773483,27.75745361,30.26,32.89,37.48,38.7,330.96,42.29,44.1,46.93736501,49.11086957,50.30065359,51.4173913
Tongliao,44.05108309,49.40336432,51.76504817,50.30239032,50.55344719,73.39076108,84.09,113,96.85,118.13,254.75,139.64,116.02,0,0,0,101.5299685
Eerduosi,7.442818269,0,0,0,0,7.548934465,14.14,17,24.4,25.3,215.55,36.54,37.47,50.20125786,56.86956522,69.02469136,79.41463415
Hulunbeier,28.60956618,35.95688128,38.28888889,41.30611943,47.81194559,49.97431004,51.74,44.39,63.31,50.18,160.62,59.42,83.07,73.91505792,28.76538462,29.74609375,28.89803922
Bayannaoer,20.72332936,18.26766343,25.07533974,22.36218717,30.98738343,35.19459459,41.41,39.89,38.44,40.56,173.85,48.15,56.34,60.60571429,65.75862069,30.91954023,64.87931034
Wulanchabu,29.47524021,37.54878139,41.09790107,44.38452689,68.35643425,66.94298353,66.27,66.2,53.31,55.05,145.77,74.73,75.4,76.83941606,79.73161765,84.12915129,94.05204461
Shenyang,342.5917864,437.4364074,585.8138769,441.5330604,447.2575623,458.3804011,477.1,484.41,517.75,509.5,259.24,546.93,553.16,549.8487738,539.7232022,524.3324397,561.0992063
Dalian,267.7788489,311.0274217,322.20473,352.0102084,380.4666286,395.1591614,404.9,419.06,433.57,446.71,283.89,481.57,488.62,486.9412752,478.7495798,470.4957983,485.1235392
Anshan,54.58178869,65.98835534,77.28684846,83.65095286,90.48108494,95.53810256,101.89,102.96,106.58,107.29,204.9,103.96,102.22,98.59248555,98.43895349,90.25438596,91.89411765
Fushun,79.7312281,88.30932053,115.250234,128.2045556,142.4593242,158.9408128,168.49,192.49,197.58,202.21,217.42,204.23,213.36,204.7488372,191.8246445,197.7559809,205.0338164
Benxi,43.00038319,56.85360245,64.81457801,77.32744269,79.81021991,64.50597456,97.52,100.07,113.94,101.85,273.11,140.79,118.87,192.6933333,220.1486486,218.130137,269.3034483
Dandong,76.91733687,76.61119641,81.57102191,82.63236022,86.73805601,92.79769262,113.78,100.24,123.62,118.31,260.38,123.59,119.62,116.0378151,111.8212766,110.1495726,125.1416309
Jinzhou,141.8935181,167.0185811,194.9403217,214.0815006,229.039139,246.7326477,257.54,261.7,261.71,271.75,233.2,282.35,281.63,274.3410596,258.6013514,254.379661,264.9658703
Yingkou,22.80541012,21.63701996,27.57124886,37.37666609,54.20448191,46.38579983,55.17,70.79,70.58,90.89,239.83,95.16,91.58,90.79399142,92.90517241,88.08658009,102.9480519
Fuxin,116.9878769,146.5612033,167.7911563,139.4154532,193.7121251,176.8990959,188.33,214.97,236.29,224.45,279.08,235.6,219.88,202.0740741,196.344086,195.1621622,224.1141304
Liaoyang,35.23992322,73.28545584,52.96961705,43.23199124,72.75602574,99.1548067,103.11,108.44,107.83,105.91,224.97,96.16,148.73,95.97765363,92.72881356,92.66285714,117.908046
Panjin,23.22533966,27.24358974,26.97316182,31.72804533,39.08296943,47.09752322,47.93,41.08,37.88,44.15,233.98,54.95,54.76,52.80769231,52.17692308,53.86923077,62.33076923
Tieling,4.655356666,5.119328962,7.972235994,12.98351612,19.81335953,25.20511228,28.67,54.04,49.35,57.34,209.36,54.97,59.96,62.69666667,61.89115646,59.83561644,90.65397924
Chaoyang,7.524517088,8.274940618,10.29698294,11.96189132,12.35007056,14.76886073,12.26,10.38,11.8,13.99,264.09,16.15,15.23,15.81524927,16.05059524,16.77083333,27.10447761
Huludao,9.995210552,26.18061916,15.7606313,17.23074691,24.60351633,27.58559201,25.29,24.05,26.63,28.73,160.8,30.99,31.05,69.58214286,27.93140794,27.78623188,34.26086957
Changchun,325.1855255,359.128453,398.2132604,417.451235,443.7549434,465.5322711,475.11,481.93,494.29,512.17,268.51,549.43,565.22,576.8472776,584.5287049,595.4141145,621.8209549
Jilin,99.76598703,113.0025404,153.4707184,146.0017656,160.4710287,175.0735814,201.33,206.76,215.93,223.51,259.34,242.23,246.04,246.4881517,246.9253012,253.0531401,273.7354369
Siping,53.37496556,59.746086,55.52743379,69.40746778,63.44827586,81.53217206,91.69,156.93,100.23,104.39,258.56,113.68,117.5,120.4567901,119.50625,119.4106583,126.4402516
Liaoyuan,9.895330113,4.274883046,9.118910594,7.125466645,17.30145867,49.25808806,63.61,72.9,44.17,45.63,214.26,50.08,47.96,48.16666667,44.47457627,49.13675214,60.92307692
Tonghua,25.18344974,37.22337559,41.42105961,37.99365303,37.68895157,41.95871761,46.9,47.69,50.09,52.82,233.78,55.81,56.98,58.44545455,59.83870968,59.26388889,59.78604651
Baishan,0,0,0,0,0,5.282233189,27.55,28.14,12.35,9.38,157.74,9.5,12.09,14.04098361,11.59166667,10.28813559,20.75213675
Songyuan,0,0,0,0,5.794525418,16.40885334,10.52,10.26,11.85,12.02,194.78,10.77,10.39,9.971223022,10.69090909,11.92,15.78181818
Baicheng,17.53311423,12.60912698,14.79166667,22.41106719,25.84635096,27.17102021,32.29,86.19,91.92,95.25,197.15,99.6,100.68,104.3005181,105.3350785,108.4894737,126.2010582
Haerbin,269.447035,312.8175793,367.353617,391.0363117,389.8310578,454.5844867,472.88,485.46,484.76,485.37,206.21,512.91,690.42,661.3721414,532.8628272,529.6155462,611.8391167
Qiqihaer,46.40903378,59.25395848,62.54690389,61.6911115,63.78654456,77.33309909,88.01,87.78,88.19,90.09,129.35,99.06,116.03,101.1801471,103.5280899,101.3981132,107.7988615
Jixi,41.64524422,52.86361763,52.25206396,57.63990778,54.3118786,49.82708028,54.19,55.91,56.59,52.94,145.13,47.93,45.46,48.20441989,10.86285714,51.15028902,54.01775148
Hegang,9.540604088,28.23711528,16.92755734,21.31552465,27.43071435,23.37080706,27.21,24.06,51.51,61.19,170.45,17.76,21,21.48076923,24.87128713,23.6,29.85714286
Shuangyashan,0,0,29.56996405,25.48182728,11.84525392,12.18928619,14.35,14.9,25.77,27.21,191.64,23.49,146.4,153.3172414,0,0,0
Daqing,124.1527724,161.6581496,203.831606,201.4519124,209.8002634,215.4528731,231.47,229.3,227.97,231.82,224.89,226.09,234.33,220.6123188,169.978022,229.1245421,227.0294118
Yichun,10.13612243,14.43235317,13.9374175,22.35008611,15.0862069,17.31567813,19.5,16.12,17.76,8.82,164.19,9.02,8.5,13.65254237,15.54310345,31.47368421,21.35714286
Jiamusi,106.0719977,101.0917472,103.3791781,111.2816794,109.5796911,115.0055635,128.72,120.99,126.11,183.47,149.4,185.17,142.43,133.7058824,97.98723404,166.5536481,225.4291845
Qitaihe,9.94967978,11.88882587,28.84767613,19.98428203,29.04703385,27.47727777,26.13,19.27,15.79,14.49,146.66,26.08,34.73,39.3625,42.70886076,40.93589744,53
Mudanjiang,78.36086216,101.3205104,135.7679309,150.6581646,169.6772042,172.7010004,197.7,200.21,201.15,197.69,146.07,182.2,197.7,159.4517375,196.6705882,195.4325397,213.088
Heihe,9.507346586,11.36898949,36.0137457,41.40296271,41.21400241,47.53881541,49.69,54.64,54.7,56.83,236.86,66.28,0,60.55828221,62.56521739,64.35849057,68.01898734
Suihua,7.917191719,9.591251345,14.19060842,14.2590965,16.47508248,16.26645877,16.2,17.12,17.42,19.08,128.74,18.26,18.04,0,0,22.15458015,21.45785441
Shanghai,282.1027449,307.3824858,325.3936747,340.8667622,351.647738,361.5273464,366.11,365.12,360.22,355.03,211.92,352.12,354.56,354.9537931,353.8948454,354.1696306,358.4649421
