city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beijing,25312.37,29674.26,    34190.73,40116.73,46507.58,    56327.86,  58139.89,65682.17,75834.61,85306.02,93996.77,103400.41,113073,122749,134994,149843,173205
Tianjin,18648.41,21891.82,25271.03,28682.54,34938.22,    41394.36,  45075.48,52963.68,55636.33,65398.43,68863.49,84833.06,84187,87806,96965,103931,111602
Shijiazhuang,12306.11,13602.16,15239.37,16911.09,19991.83,    22745.82,  27369.84,31458.78,35131.75,38425.99,43653.04,48272.09,54441,61189,67880,75114,78937
Tangshan,10322.42,14077.9,17104.56,19539.04,23178.40,    29422.98,  33330.85,37230.96,42029.40,45230.00,48270.06,51214.10,55565,59623,66843,74569,77990
Qinhuangdao,13479.54,15840.34,17526.59,19648.52,22832.27,    29140.71,  32228.41,35829.67,37195.05,45686.79,48308.30,52497.76,57451,61988,70753,75131,80184
Handan,10041.84,11928.62,13774.79,15361.23,18215.11,    23654.65,  27617.86,32126.01,36119.57,37987.53,39040.86,41422.93,46650,50847,58917,62696,66540
Xingtai,10100.3,11715.8,13545.9,15166.35,18189.96,    22545.56,  25904.94,28156.86,34829.75,37932.10,39707.41,41194.73,46944,50205,59431,65235,67415
Baoding,10584.58,11875.71,13274.42,14977.46,17891.98,    21765.03,  24967.69,28090.88,32277.69,34913.54,39678.67,43046.73,50477,54395,63835,66548,71315
Zhangjiakou,10496.24,12342.82,13504.58,15335.86,18919.28,    23598.53,  26680.90,30588.82,33437.11,35658.09,36290.59,39399.56,48892,52277,63976,69520,70937
Chengde,10761.39,12917.6,13899.08,14978.36,18962.82,    24209.28,  26725.12,29964.94,34136.94,34605.77,42323.10,44512.74,49071,53449,60270,65558,69365
Cangzhou,9746.04,11209.72,14487.66,16968.03,20708.46,    25270.72,  37133.04,33014.75,36199.75,40356.77,43475.67,48082.23,54779,58122,66984,73826,79779
Langfang,11327.35,12813.54,14913.77,17445.88,22028.29,    28636.04,  31474.80,37225.97,39979.13,45426.43,49630.59,0,64724,72744,77665,86177,91534
Hengshui,9428.8,10757.61,12038.19,13362.81,15878.15,    19379.62,  22760.30,25696.97,28999.60,32945.40,36685.95,0,47174,50294,58014,62877,64590
Taiyuan,12678.9,15399.73,18546.9,21422.46,24687.99,    29588.57,  33140.33,38838.91,44868.25,48904.69,51036.12,57770.59,60516,64820,72114,80825,82860
Datong,10303.9,12590.4,15724.22,19318.11,22449.72,    25382.96,  28172.02,34431.23,43869.95,48210.08,51577.39,56135.48,58750,55450,59924,63582,70638
Yangquan,10920.92,14170.06,18319.06,21543.53,25186.36,    30458.07,  34730.87,42408.41,47345.63,54386.09,48494.21,47006.73,46594,48195,56255,61813,65202
Changzhi,11008.64,13630.25,16221.68,19399.68,21914.19,    26523.88,  28775.33,33413.32,39294.57,44981.53,44601.95,48061.23,49468,51070,57750,61575,65172
Jincheng,11736.69,14471.83,18739.2,21270.63,26401.46,    30996.20,  34197.11,40031.65,48705.48,54470.50,54881.84,55749.83,54721,55453,62656,67052,68461
Shuozhou,9558.86,11603.6,14770.53,18453.75,23457.22,    27043.65,  27931.92,32532.88,38683.27,44782.98,47172.42,55755.15,52012,51377,59831,66523,70334
Jinzhong,9387.13,11104.99,13346.19,14529.97,17444.70,    22300.97,  23706.62,29027.46,37720.54,42683.09,46371.83,47246.92,51189,53196,61554,67380,69202
Yuncheng,9819.18,11336.74,12306.87,13911.4,16238.26,    19770.76,  20131.58,23692.60,30490.76,31564.51,34406.39,37350.52,46807,49912,55267,62232,62679
Xinzhou,7995.09,9149.98,9225.03,11957.7,14709.15,    19167.76,  20102.07,24402.52,30546.16,34442.65,38303.75,40398.82,44880,47265,52191,57132,65612
Linfen,9786.91,12347.13,13665.69,16507.52,18729.81,    22310.04,  24216.83,23080.61,28522.78,32825.79,37572.53,39220.94,48051,50482,56866,63695,66670
Lvliang,8957.43,10613.19,13109.87,16785.27,19581.72,    20624.99,  26203.22,31630.19,38952.91,46899.23,50312.37,50292.94,52890,55357,61378,68271,70663
Huhehaote,14116.37,16754.7,19713.2,22947.53,26734.88,    30871.77,  33992.83,37693.47,42796.88,65637.08,48797.29,50468.91,53698,56213,63084,71387,84105
Baotou,13416.57,16381.71,21987.64,22814.1,26870.09,    31775.72,  36725.76,41398.28,47053.62,51646.06,53095.35,56250.91,59500,63987,69706,75318,81889
Wuhai,10105.99,12873.43,12147.54,18173.74,22378.73,    27289.95,  35590.36,39853.09,42941.89,51471.36,53198.49,54123.53,55577,58301,67658,75504,85776
Chifeng,9578.02,10875.54,12602.02,14985.06,18263.18,    22104.58,  27411.67,31322.83,38318.51,45594.44,51274.63,54378.79,55377,59602,63809,72254,77181
Tongliao,9445.79,10227.48,11689.03,13895.58,17196.43,    19803.66,  21878.27,26072.42,34591.68,38274.84,42921.60,46981.64,53093,57029,61470,66727,75329
Eerduosi,13149.62,16960.3,21625.39,27073.91,31583.10,    36261.28,  44815.83,53018.06,59298.57,66430.32,68635.59,62651.20,73377,74496,78166,95287,99292
Hulunbeier,10018.02,11344.05,12716.72,15077.05,17716.73,    22108.62,  28247.65,31223.51,37078.07,44687.87,48349.97,49640.35,48001,58386,64449,70832,76376
Bayannaoer,9768.19,10994.31,12451.53,14822.04,16505.91,    20366.50,  25883.93,30324.47,35260.64,41539.04,46856.95,47486.55,51169,54427,64696,65471,75879
Wulanchabu,11287.64,13318.95,14689.47,16538,20229.10,    25132.31,  28948.78,30988.16,35469.85,41329.23,45983.25,50100.45,56538,65280,66332,70553,76686
Shenyang,14961.14,17331.27,19894.54,23391.41,27372.49,    33545.76,  38576.86,41899.67,45756.48,49898.08,52461.42,56589.59,61827,67444,74181,82067,87696
Dalian,17560.15,19717.82,21884.46,24227.17,28270.50,    34304.37,  38765.37,44615.02,49727.92,54821.15,59062.74,63609.43,69390,73764,81884,87592,95442
Anshan,12731.41,15396.15,18708.69,21119.14,25353.32,    29120.47,  30432.65,32916.29,33731.49,34523.70,40260.57,43038.43,43652,48164,50187,54947,60962
Fushun,12022.79,13913.34,16789.52,19738.82,23992.41,    28100.49,  30826.88,35149.98,36186.24,38754.40,42523.97,45622.27,50225,52708,56941,63156,66686
Benxi,11933.66,14633.14,16545.93,19269.71,22310.80,    25078.97,  28385.72,31820.20,35451.00,38764.24,41278.25,41426.12,43822,46662,50881,55841,55701
Dandong,10639.38,12235.65,14383.45,16257.57,18671.82,    21528.77,  23342.56,25866.21,27051.72,28626.61,32182.95,32566.80,35790,38763,42230,44077,57008
Jinzhou,10761.97,12202.07,13869.08,15282.47,18052.59,    20435.19,  25895.45,29453.07,33498.90,37709.07,39751.75,41447.63,47416,49162,54892,60583,65771
Yingkou,10920.11,12584.38,14301.01,16301.99,20621.39,    22461.88,  27423.51,30594.02,31898.79,36030.49,39621.93,42198.70,48978,46999,50074,54361,65261
Fuxin,9873.11,11292.58,12560.85,14702.37,18479.34,    21556.86,  23007.31,25348.20,33108.21,38564.67,40051.20,41430.81,45939,49601,54331,56271,59849
Liaoyang,12538.64,13890.68,16022.58,17433.48,21463.16,    25178.75,  27785.68,32031.60,36155.29,40238.51,43042.54,46444.44,50716,54507,60361,67941,69094
Panjin,10162.98,12129,13412.57,14694.79,16873.29,    22905.43,  24361.72,28025.36,30395.77,33950.42,37758.37,39907.28,41579,42944,45890,51592,55447
Tieling,9987.98,11431.83,14828.53,16544.67,19176.47,    21189.00,0,27960.93,32643.26,37374.24,39760.18,39804.62,42473,43596,47615,53457,60166
Chaoyang,9642.69,10399.71,13307.85,15516.73,19862.22,    23095.22,  26558.42,29942.63,31405.32,36277.02,39093.66,40510.94,43950,47846,52732,59534,64331
Huludao,10421.03,11588.36,13222.76,15287.01,18468.68,    21224.20,  24237.33,26042.92,31492.87,36038.48,39720.90,42282.78,47048,50711,55037,59891,62556
Changchun,13870.31,15717.22,12922.07,19954.25,24189.04,    26968.10,  30448.41,35721.09,41471.21,46672.99,52352.11,56976.99,62519,68434,73469,80425,88082
Jilin,10611.19,12692.32,14901.59,17209.08,23040.18,    27118.47,  29299.24,30991.90,35091.71,40445.95,42082.67,45365.45,49234,53392,59923,66592,69766
Siping,7893.59,8795.52,10140.56,9577.18,15491.82,    18231.33,  19966.98,22377.35,28016.48,32054.90,34888.24,37870.26,45948,50676,56235,61008,65239
Liaoyuan,8599.91,9769.34,12376.71,15078.15,17270.98,    18789.01,  22012.94,23976.76,27805.71,32359.64,36538.39,39476.01,43872,46910,50474,57948,63708
Tonghua,9763.79,10773.41,12184.63,13686.58,17334.75,    18626.42,  21588.50,24057.69,28397.35,31764.32,36080.22,39354.00,44405,47506,52054,58342,60226
Baishan,8414.93,9269.33,10496.06,12716.09,17249.55,    20457.18,  21953.78,26416.92,29987.03,33390.43,35601.16,39339.91,44532,47294,50230,55846,58424
Songyuan,10647.06,12699.23,15581.91,17348.53,23008.53,    27100.56,  28817.56,29328.67,33697.57,36492.03,43303.90,44895.71,48170,50592,55434,63227,71455
Baicheng,8408.42,8640.63,9940.83,11835.4,13900.53,    16128.41,  17943.20,20671.83,24336.31,27973.99,29047.03,32129.86,39493,44619,49749,52514,62182
Haerbin,12451.37,13981,16468.67,18779.71,22104.03,    25525.67,  29250.71,32411.10,36449.88,41772.95,47210.34,51554.10,58405,62583,67542,71771,82385
Qiqihaer,10080.01,10408.19,12572.19,14216.72,16503.80,    21934.07,  21371.89,27054.41,30688.61,34154.17,37957.28,42193.25,47011,50558,0,63738,65440
Jixi,8662.34,9499.8,15186.04,14984.42,16133.18,    18783.83,  23437.59,28841.50,31138.15,37533.53,38523.32,40429.08,39891,47866,54626,0,63528
Hegang,8226.31,10684.68,13449.87,18479.6,18558.44,    22793.96,  25247.50,29366.76,37525.83,40011.43,39937.93,39621.65,41066,48745,54001,53486,48238
Shuangyashan,7342.36,6464.29,11378.66,13396.13,15933.92,    11707.47,  16077.45,17208.18,17208.18,22692.08,40293.18,39115.59,42176,52648,58133,54264,62406
Daqing,19702.05,22616.8,24524.38,26980.53,29680.68,    34151.87,  41372.77,45688.45,49539.34,56391.34,64305.04,67671.27,66839,72459,74583,89756,100781
Yichun,5919.71,6207.11,6409.73,7378.07,9523.21,    12116.04,0,15986.25,18514.42,24193.06,24786.31,27205.47,35656,36793,38713,42938,44953
Jiamusi,9088.43,10560,11293.1,12730.78,14906.42,    21876.69,  23220.39,27032.99,30469.84,38180.65,36018.76,39518.42,46978,50020,54018,53286,50485
Qitaihe,9335.19,10281.89,12352.55,14279.86,16530.83,    21754.09,0,28718.69,33398.10,37976.81,39174.07,39657.80,41301,48695,53467,58334,64270
Mudanjiang,9491.98,10851.24,11793.7,13363.37,16902.60,    19498.01,  23639.49,27432.12,31026.89,34296.39,38285.51,42278.83,47412,55054,110393,62277,65154
Heihe,6611.95,7210.22,11924.33,13445.24,16606.88,    19537.33,  18347.47,20228.42,19176.07,21818.84,33280.79,33948.46,0,51422,52329,46663,53820
Suihua,7810.32,8455.81,9533.96,10549.06,13348.00,    15973.49,  17782.68,20407.21,23034.32,25310.60,30313.34,33575.68,35229,45545,48316,54303,60536
Shanghai,27304.58,29874.49,31940.08,41188.59,49311.11,    56564.99,  63548.87,71875.36,77031.27,80190.88,91475.15,92189.76,100966,120503,130765,142983,160256
Nanjing,22190.22,26063.35,29343.76,32459.49,35907.20,    39877.53,  43623.21,48781.69,54711.85,63151.73,66382.52,77286.26,81075,90191,101502,111071,129605
Wuxi,18928.40 ,22125.09,25603.98,29658.58,34375.66,    38846.00,  43346.97,47004.39,51516.54,56884.08,60581.57,68025.97,76019,84931,89551,90284,105759
Xuzhou,13552,15808.57,18850.49,21896.83,23710.89,    26822.62,  31175.86,34244.07,39489.99,44067.52,47014.91,49778.92,54310,57228,63917,71457,78568
Changzhou,17257.58,19984.23,22992.57,26556.98,30412.82,    34836.16,  39221.83,44211.39,49754.85,55761.16,73034.51,67397.08,70850,81058,84744,91268,104539
Suzhou,19790.67,22510.32,25015.21,28010.06,31403.71,    36088.71,  40262.16,45567.59,51658.96,57621.90,60531.68,66956.28,72291,79870,87350,94421,105572
Nantong,13546.72,15903.7,18512.4,21660.87,25947.16,    30854.01,  35221.70,39445.86,44570.66,49398.18,58653.30,63292.44,66535,71743,75315,79218,86797
Lianyungang,11261.97,12714.62,15042.05,17760.33,21485.14,    26495.23,  29551.08,33837.43,38816.04,44129.33,46246.81,52614.12,56154,61262,69726,75808,0
Huaian,10803.48,12171.02,14135.02,16589.65,19840.20,    23995.63,  28178.95,32781.87,36984.17,41970.83,45522.74,51302.82,55232,59642,64631,71472,77874
Yancheng,10618.35,11951.14,13648.75,15688.55,18849.05,    22382.15,  26675.34,30462.78,35498.32,40358.30,44271.89,48140.80,53445,58205,64280,71406,84779
Yangzhou,13801.51,15733.36,18163.11,20844.52,24284.03,    27321.15,  30607.89,35432.99,40284.24,47796.88,52658.51,57141.24,63891,67611,71663,75996,81837
Zhenjiang,15263.55,17382.93,19891.18,22923.49,27025.88,    30957.19,  34205.48,37675.27,42660.39,47624.76,54751.11,58640.30,63367,68874,75315,79608,87012
Taizhou,11423.26,13190.02,15091.75,17310.47,21267.18,    25733.51,  29799.35,34490.32,38326.15,42980.22,46791.99,53399.32,57874,61069,65509,70851,79895
Suqian,9286.06,10339.74,12113.88,14051.61,16850.52,    19987.27,  23811.92,27612.79,31995.59,35901.99,43244.86,47393.07,52161,55844,59740,65088,72473
Hangzhou,24666.88,28891.25,30578.5,32791.95,36496.85,    40193.08,  43946.59,48771.90,54408.46,56417.81,65053.30,70823.44,77816,87153,96670,106709,120308
Ningbo,23691.3,25823.13,29045.01,28949.07,32924.48,    35834.54,  39137.62,43476.23,49756.38,56255.50,63151.46,70227.63,74989,83656,91705,102325,110878
Wenzhou,18912.94,19576.24,21686.26,23022.69,25994.64,    29595.07,  33891.88,37605.46,42344.12,48213.66,55665.03,59900.68,64412,70069,75881,82837,90677
Jiaxing,20777.35,20700.97,20647.32,22625.01,26004.19,    29219.56,  31963.21,36317.44,42985.78,48329.29,53965.71,60309.60,67689,73836,82934,90342,97767
Huzhou,19971.13,22024.66,23874.1,26041.12,28504.53,    31456.90,  33841.71,36485.42,41106.89,46290.63,51637.08,56445.78,61201,65051,72335,81617,89631
Shaoxing,19693.95,21579.85,24630.06,26914.15,29953.85,    30636.13,  32503.64,35124.47,39808.40,45615.51,50379.43,54764.22,58728,61394,67489,75375,80842
Jinhua,20554.82,23261.96,24018.3,25040.92,28852.82,    31580.46,  34768.70,39468.96,42863.91,47198.57,55229.45,55806.04,66782,72962,82199,88664,90635
Quzhou,18571.34,22501.65,26462.86,28663.57,32908.90,    35929.87,  39093.57,44053.96,50047.06,54705.68,59634.97,65076.13,75447,85527,96843,105793,118256
Zhoushan,18777.29,22250.33,25368.1,28443.49,33424.82,    38702.30,  40569.74,43635.67,52905.71,57281.56,63304.22,68967.25,74717,80311,93018,98394,106441
Taizhou2,20997.42,24881.9,31079.6,31945.72,33363.23,    34128.15,  36821.04,40564.72,42198.16,47010.09,50595.40,54839.03,57215,64816,70825,77675,85578
Lishui,18621.45,22917.46,24956.49,27349.36,31445.31,    36241.84,  41141.09,44975.91,49070.73,56609.07,60408.35,66100.99,77238,85058,92581,103259,110875
Hefei,13901.19,16420.1,19030.15,21906.84,25873.70,    30401.18,  34143.62,39290.84,45442.22,50723.74,54210.78,59648.42,65806,71054,77484,89022,95156
Wuhu,11398.17,14165.54,16177.41,18972.04,22964.72,    28053.37,  32157.32,36593.68,41946.53,47699.94,44811.98,54522.23,57372,61385,66883,71364,79161
Bengbu,10263.72,12282.19,13979.99,15982.78,19761.83,    22347.91,  25512.23,28706.94,33059.00,38447.09,42434.00,45369.46,51146,56015,61537,70034,75285
Huainan,11816.93,16973.18,22656.16,27491.87,31367.54,    37551.57,  40022.26,45863.17,51909.92,57550.17,58597.11,61775.37,59424,58543,71218,84508,91156
Maanshan,16250.69,20948.14,24001.2,26289.7,31890.17,    35991.14,  38223.88,42964.81,45737.79,51172.33,55296.95,59096.14,60093,65060,71809,82120,83815
Huaibei,10613.91,13381.86,15810.72,18671.32,25325.60,    30020.36,  35561.98,43009.75,50070.24,57000.61,52378.26,52683.96,51096,48266,65286,72146,78796
Tongling,10983.25,12761.71,15826.68,19288.42,23383.23,    27593.82,  31025.50,36641.39,42796.05,47626.68,49065.66,54336.55,56543,61501,65944,74690,76311
Anqing,9635.57,11207.32,12519.72,14712.1,19190.09,    22108.86,  24024.27,27985.87,33093.25,38195.81,39330.21,44270.58,49802,52954,58310,68286,71841
Huangshan,10924.17,12716.97,15103.52,17623.82,21740.59,    24490.97,  27054.87,30660.23,35933.92,40909.08,43276.39,47770.94,55137,59325,68668,76269,78519
Chuzhou,8459.61,10062.15,12170.41,14072.47,17751.63,    21485.76,  24276.69,28533.71,34877.71,41830.23,45198.03,50795.40,56336,61436,67264,73608,76413
Fuyang,8552.38,9727.38,11981.58,13794.46,17575.86,    20382.72,  22158.63,26275.23,32480.51,35924.17,39474.53,42288.33,48583,52718,0,66886,73342
Suzhou2,8146.58,10572.18,12253.23,14331.14,18299.59,    22403.51,  24684.34,28682.14,34368.09,38334.43,36597.08,39008.06,45658,49356,56452,64089,67755
Luan,8312.74,10216.04,11537.4,13250.69,17400.65,    20838.37,  24000.10,27084.43,27489.52,36913.32,40278.96,42915.69,51354,59107,65070,77499,78842
Bozhou,7995.76,9706.6,11138.18,13324.01,17118.75,    20323.46,  22950.72,26779.46,31756.89,38425.63,52395.83,42191.40,47338,50292,57350,64547,65672
Chizhou,10195.53,12015.06,14030.07,16145.1,18467.59,    23410.96,  27596.43,31293.52,37501.18,38039.41,41999.33,46178.51,49733,55068,62289,70720,79614
Xuancheng,10595.78,12797.97,15090.59,17471.72,21548.95,    26795.90,  29170.48,33487.15,39394.82,46408.27,56664.58,53633.62,56767,63622,68760,72357,77407
Fuzhou,15052.76,16585.3,18193.99,20665.14,23950.48,    27521.06, 30704.44,34804.48,42240.09,48087.61,53334.13,58838.06,62478,67630,75133,83175,88952
Xiamen,19023.57,20540.09,22578.13,25543.42,28959.18,    32343.50, 36454.99,40282.94,46413.94,52672.94,58005.06,63062.49,66930,69218,75452,85166,97779
Putian,11698.72,12652.4,13511.44,15492.12,18295.94,    21856.98, 24654.05,27814.62,34081.33,39830.47,43864.63,50931.45,52149,56548,59358,65050,70204
Sanming,13962.43,15052.92,16204.06,18412.07,21357.56,    24181.91, 27379.49,30603.08,37601.84,42291.31,47378.32,53154.93,59166,64324,71555,79202,86559
Quanzhou,13131.76,14464.48,15799.44,17588.24,19913.29,    22225.19, 25272.65,28907.87,35901.09,41116.41,44896.45,48963.02,54044,57141,61253,65915,72321
Zhangzhou,11078.41,11964.81,13336.76,14967.06,18024.18,    22272.74, 24710.36,29537.45,34899.95,42708.40,46748.43,52038.64,56931,62093,66483,76377,86313
Nanping,11929.06,12167.26,14175.53,16280.05,19063.12,    22372.07, 25269.86,28320.61,33750.07,40635.12,44931.28,49828.88,56381,59537,64347,69984,76230
Longyan,13442.32,14806.54,15384.31,17862.15,20571.35,    24053.28, 27642.91,30834.46,35552.23,41173.53,44775.28,44573.83,55430,59329,64211,70094,78850
Ningde,12973.73,13957.16,14995.39,16446.4,18615.17,    23307.93, 27127.46,31296.86,38311.06,43504.30,47019.49,50097.06,56625,61309,68669,72971,82982
Nanchang,13912.77,15589.09,18045.55,20285.67,23886.55,    26960.51, 30449.86,35037.98,39816.23,43769.02,46744.10,51848.13,57730,65812,72686,82672,88470
Jingdezhen,9576.86,10889.58,11870.21,13102.58,16342.91,    18645.56, 20527.24,23247.17,29046.82,34034.43,37323.55,41124.24,45814,49909,57851,63686,71069
Pingxiang,10343.99,12334,14754.68,15507.76,18252.07,    20440.03, 22169.15,25337.92,31025.10,34182.16,38416.32,43352.00,48100,52389,61464,71636,76607
Jiujiang,9757.53,10618.69,12221,13591.54,15872.51,    17795.58, 21053.30,24746.15,29456.00,33894.94,39517.68,44404.28,51065,56331,61938,71921,77121
Xinyu,11404.51,13282.89,14933.19,18389.91,22698.75,    26301.10, 27083.40,31439.60,26289.70,42230.54,42640.85,47471.80,51639,54602,59185,70453,78069
Yingtan,11448.45,12929.42,14622.99,16392.27,16704.56,    18317.41, 20392.32,23443.00,30685.35,34844.38,41304.90,47283.17,57623,59595,65632,71481,77230
Ganzhou,9311.72,9997.43,11828.19,13122.2,16228.64,    18421.91, 20561.98,23600.56,27850.86,32872.31,40923.80,45112.52,50313,55253,60337,66875,70640
Jian,8773.45,9858.92,11316.52,12243.05,15324.97,    19036.06, 20610.84,23096.94,27262.49,33211.58,39300.85,43168.62,48312,52402,54256,60643,68643
Yichun2,9256.39,10918.54,12749.31,13984.37,15988.44,    19081.46, 23949.16,23843.30,27292.96,32740.60,37752.78,41421.82,45330,49614,53568,60751,65679
Fuzhou2,8111.65,8732.58,9876.99,10994.92,13694.26,    15461.92, 18205.10,21421.17,26341.33,32637.89,40311.67,45646.24,49522,54607,59542,62885,67544
Shangrao,9374.01,10362.5,11830.86,13420.44,15838.23,    17782.00, 20758.99,23134.61,27401.70,33104.57,40937.15,43560.25,50414,54322,58376,64315,69145
Jinan,16026.54,17980.9,20865.5,22305.51,26653.92,    31599.81, 35661.31,37853.89,44004.45,48829.04,55642.35,62322.60,68997,77012,84645,91651,100593
Qingdao,15335.29,17263.76,20021.01,23458,27084.24,    30234.51, 33257.15,37803.49,43161.52,49052.31,55364.92,62096.82,69465,76616,83539,90840,103125
Zibo,13403.81,15083.33,17166.39,19929.42,23265.36,    26341.65, 29949.86,33896.67,37943.89,41998.59,47184.49,51143.39,56782,61928,67003,71432,78815
Zaozhuang,10508.81,12870.78,14832.44,16833.72,21114.81,    24682.10, 26987.79,30440.82,34977.84,38990.98,42496.29,47189.31,49673,53793,58353,63410,70788
Dongying,21182.16,24264.71,26007.82,27609.59,30132.60,    33674.67, 36920.27,41197.76,45608.44,50194.16,56811.56,60773.71,67466,73129,76938,89503,100224
Yantai,13428.54,15509.48,18765.07,22166.51,25099.49,    28717.26, 31200.15,34193.93,37789.52,41625.67,48088.78,52809.71,59906,64219,68979,74653,82280
Weifang,10780.8,12299.17,13915.63,15603.76,18904.48,    23721.37, 28803.67,33710.57,36646.10,40966.45,46097.30,51231.30,57148,61815,68139,70054,75283
Jining,11986.97,13515.3,15639.87,18988.67,23752.30,    27983.44, 30995.96,35820.80,39251.50,44526.47,46490.64,50435.52,54077,57362,61909,66160,77459
Taian,10401.05,11955.29,13379.58,15264.11,17907.95,    21842.75, 25630.12,30904.21,35500.69,39987.44,44829.22,48323.79,51835,55493,59653,61508,67883
Weihai,11215.69,13200.57,15783.33,18165.92,21123.01,    24122.30, 27370.62,31913.04,35375.61,38800.25,43674.50,48727.98,53494,57812,62344,66733,71202
Rizhao,10226.81,11817.76,13042.3,15934,20006.85,    24134.04, 28383.56,33522.17,36958.81,39931.27,43944.92,49850.05,54734,59095,63418,71548,79686
Linyi,9885.02,11116.87,13457.35,15830.05,19127.45,    24101.49, 27666.84,31724.03,37445.64,42137.86,41897.04,49310.79,56312,60039,63440,67679,76310
Dezhou,8320.84,9303.15,10778.71,12652.14,15776.19,    18587.21, 21647.43,24262.28,28398.82,33477.45,38799.82,43203.24,48589,54390,58912,62690,71740
Liaocheng,9841.2,10820.32,11714.52,14119.82,15879.27,    18178.36, 21382.02,25783.32,29764.05,33690.48,37701.27,42237.10,48070,55223,60034,65436,70475
Binzhou,10249.17,11773.04,13550.25,15085.33,17887.75,    20713.68, 23846.99,28004.78,33713.25,40465.96,45110.02,48475.47,53865,58659,64749,70047,73518
Heze,7778.49,8860.56,9869.52,11870.9,14358.39,    16805.29, 19252.36,21959.38,26921.25,32213.73,35693.40,39416.86,45060,50979,55298,60527,66362
Zhengzhou,13537.99,15023.84,16695.7,18862.08,22156.23,    26477.63,    29836.72,32777.81,35755.56,40471.52,44941.19,49756.03,52987,61149,70486,80963,88030
Kaifeng,7703.57,8657.39,10121.77,11398.27,14432.06,    15586.65,    21232.35,24090.18,27446.95,26798.45,35320.24,35749.43,43535,48807,51541,57390,59288
